"Кандидат","Графік","% ЗА","Голосів ЗА","tvo","candidate_url","percent_counted"
"Пашковський Максим Ігорович, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",NA,"26,62","21 582","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=21027.html","100,00"
"Кудлаєнко Сергій Володимирович, самовисування",NA,"15,11","12 249","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=19890.html","100,00"
"Гижко Андрій Петрович, Політична партія ""Європейська Солідарність""",NA,"11,12","9 018","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=18708.html","100,00"
"Бевз Світлана Володимирівна, самовисування",NA,"10,85","8 802","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=17306.html","100,00"
"Кістіон Володимир Євсевійович, самовисування",NA,"9,58","7 765","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=15335.html","100,00"
"Ковальов Андрій Євгенійович, ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",NA,"6,90","5 595","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=21186.html","100,00"
"Горлачов Ігор Ярославович, Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",NA,"4,81","3 905","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=19530.html","100,00"
"Давиденко Ганна Віталіївна, самовисування",NA,"4,29","3 479","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=20274.html","100,00"
"Приходько Анастасія Костянтинівна, політична партія Всеукраїнське об’єднання ""Батьківщина""",NA,"3,75","3 046","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=19319.html","100,00"
"Скрипченко Валерій Володимирович, політична партія Всеукраїнське об’єднання ""Свобода""",NA,"2,74","2 228","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=21541.html","100,00"
"Шулікін Олег Миколайович, самовисування",NA,"1,89","1 537","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=18816.html","100,00"
"Лепей Олена Володимирівна, Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",NA,"1,32","1 070","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=21393.html","100,00"
"Хаджинов Максим Геннадійович, самовисування",NA,"0,95","774","11","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=17595.html","100,00"
"Драбовський Анатолій Григорович, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",NA,"33,22","26 541","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=21045.html","100,00"
"Верлан-Кульшенко Олена Олександрівна, Політична партія ""Європейська Солідарність""",NA,"13,12","10 486","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=18701.html","100,00"
"Ваколюк Людмила Євгенівна, політична партія Всеукраїнське об’єднання ""Батьківщина""",NA,"10,41","8 320","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=19292.html","100,00"
"Марцинковський Леонід Васильович, самовисування",NA,"9,90","7 913","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=16951.html","100,00"
"Кривешко Сергій Сергійович, ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",NA,"7,41","5 920","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=19348.html","100,00"
"Околіта Володимир Олександрович, Політична партія ""Об’єднання ""САМОПОМІЧ""",NA,"5,59","4 466","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=17600.html","100,00"
"Грушко Сергій Сергійович, Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",NA,"4,92","3 937","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=19541.html","100,00"
"Базелюк Володимир Васильович, політична партія Всеукраїнське об’єднання ""Свобода""",NA,"4,88","3 900","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=17564.html","100,00"
"Галіцька Вікторія Вікторівна, самовисування",NA,"3,36","2 685","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=17445.html","100,00"
"Мазуренко Денис Анатолійович, Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",NA,"1,98","1 588","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=21401.html","100,00"
"Павленко Юрій Євгенійович, Політична Партія ""ПАТРІОТ""",NA,"1,66","1 327","12","https://www.cvk.gov.ua/pls/vnd2019/wp407pt001f01=919pf7201=21624.html","100,00"
