"convocation","full_name","birthday"
1,"Скорик Лариса Павлівна","4.10.1939"
1,"Крижанівський Володимир Петрович","24.1.1940"
1,"Чулаков Євген Родіонович","5.4.1937"
1,"Мазур Володимир Дмитрович","10.2.1942"
1,"Омельченко Микола Григорович","16.6.1936"
1,"Сухий Василь Васильович","15.4.1944"
1,"Меньшов Володимир Олександрович","22.4.1934"
1,"Сівцов Микола Пилипович","18.5.1942"
1,"Продан Костянтин Костянтинович","14.1.1930"
1,"Лазаренко Павло Іванович","23.1.1953"
1,"Слєднєв Володимир Петрович","29.7.1938"
1,"Дорошенко Іван Кирилович","22.7.1942"
1,"Дзюба Микола Григорович","12.11.1946"
1,"Корнєєв Альберт Васильович","14.2.1937"
1,"Серебрянников Юрій Пилипович","1.3.1941"
1,"Звягільський Юхим Леонідович","20.2.1933"
1,"Гусєв Віктор Іванович","11.9.1950"
1,"Тризна Валентин Сергійович","26.8.1945"
1,"Маслюк Геннадій Євгенович","21.6.1952"
1,"Чародєєв Олександр Васильович","24.8.1955"
1,"Марченко Іван Дмитрович","8.10.1929"
1,"Гребенченко Леонід Григорович","22.4.1944"
1,"Черненко Віталій Григорович","11.2.1945"
1,"Кондратьєв Ярослав Юрійович","15.7.1948"
1,"Локтєв Сергій Володимирович","20.3.1960"
1,"Панасовський Олег Григорович","8.5.1940"
1,"Топалов Валерій Андрійович","23.5.1953"
1,"Сівкова Лідія Миколаївна","26.6.1951"
1,"Старіченко Олександр Гаврилович","20.6.1947"
1,"Ляшко Віктор Іванович","26.10.1935"
1,"Маякін Валентин Андрійович","4.9.1934"
1,"Богатирьова Раїса Василівна","6.1.1953"
1,"Шеховцов Олексій Дмитрович","10.3.1957"
1,"Васильєв Василь Іванович","5.1.1947"
1,"Салій Іван Миколайович","2.11.1943"
1,"Смирнов Юрій Костянтинович","2.6.1939"
1,"Хунов Анатолій Ісмаїлович","25.3.1940"
1,"Жуков Володимир Романович","17.8.1946"
1,"Півень Микола Іванович","29.5.1949"
1,"Шевченко Віктор Іванович","1.8.1941"
1,"Макаренко Сергій Михайлович","16.1.1961"
1,"Хотлубєй Юрій Юрійович","12.1.1944"
1,"Під’яблонський Михайло Іванович","23.7.1953"
1,"Булянда Олександр Олексійович","3.6.1937"
1,"Бандура Анатолій Іванович","24.8.1946"
1,"Задорожний Борис Васильович","2.3.1937"
1,"Карпенко Віталій Опанасович","3.3.1941"
1,"Ясинський Володимир Віталійович","24.2.1937"
1,"Новіков Володимир Якович","25.4.1944"
1,"Кисельов Анатолій Васильович","25.10.1944"
1,"Бурего Микола Степанович","20.1.1930"
1,"Колеснік Сергій Віталійович","24.1.1965"
1,"Пауль Віктор Йосипович","15.4.1949"
1,"Чураков Валерій Миколайович","11.8.1948"
1,"Островський Зіновій Васильович","13.2.1940"
1,"Родигін Валерій Миколайович","29.8.1949"
1,"Мартинов Анатолій Федорович","28.8.1946"
1,"Толстоухов Анатолій Володимирович","2.1.1956"
1,"Герасименко Станіслав Дмитрович","14.7.1947"
1,"Кислий Павло Степанович","5.3.1933"
1,"Спаський Олександр Миколайович","1960"
1,"Сидоренко Микола Якович","24.5.1947"
1,"Рибін Олександр Миколайович","12.6.1948"
1,"Дашивець Григорій Арсентійович","25.1.1956"
1,"Зайко Яків Якович","4.4.1940"
1,"Сугоняко Олександр Анатолійович","24.4.1953"
1,"Мельничук Віталій Григорович","2.12.1953"
1,"Хилюк Олексій Олексійович","4.5.1951"
1,"Яценко Володимир Михайлович","3.4.1951"
1,"Федоров Володимир Григорович","10.6.1939"
1,"Дупляк Микола Степанович","15.1.1940"
1,"Коцюба Олександр Павлович","7.11.1939"
1,"Янушевич Станіслава Антонівна","12.3.1939"
1,"Борейко Михайло Степанович","19.8.1948"
1,"Панасюк Федір Тимофійович","17.8.1948"
1,"Будько Валентин Семенович","4.9.1940"
1,"Бондарєв Валерій Петрович","18.2.1941"
1,"Рудик Василь Назарович","9.5.1941"
1,"Гайовий Володимир Максимович","20.9.1933"
1,"Єліашевич Ігор Володимирович","20.10.1939"
1,"Данчевський Володимир Якимович","16.5.1936"
1,"Шепа Василь Васильович","28.3.1931"
1,"Заєць Іван Олександрович","5.7.1952"
1,"Поличко Андрій Васильович","22.4.1945"
1,"Бабенко Станіслав Григорович","4.1.1947"
1,"Галас Іван Іванович","20.2.1933"
1,"Кельман Дмитро Іванович","8.11.1940"
1,"Герц Іван Іванович","19.9.1936"
1,"Габор Іван Михайлович","1.1.1945"
1,"Волощук Михайло Юрійович","10.11.1934"
1,"Бедь Віктор Васильович","5.5.1964"
1,"Попович Іван Васильович","1938"
1,"Дорчинець Дмитро Федорович","24.10.1937"
1,"Романчук Володимир Миколайович","2.11.1949"
1,"Слєсаренко Віктор Михайлович","27.5.1951"
1,"Головатий Сергій Петрович","29.5.1954"
1,"Сацький Віталій Антонович","22.4.1930"
1,"Короленко Євген Сергійович","15.10.1938"
1,"Порада Олексій Миколайович","17.6.1928"
1,"Дубовський Анатолій Іванович","3.10.1934"
1,"Соболєв Сергій Владиславович","5.9.1961"
1,"Ізмалков Валерій Миколайович","20.4.1955"
1,"Шевченко Володимир Петрович","13.5.1944"
1,"Сичов Віктор Олександрович","30.3.1947"
1,"Білоусенко Олександр Федорович","7.2.1937"
1,"Дем’янов Володимир Васильович","1943"
1,"Ніколенко Анатолій Миколайович","27.3.1947"
1,"Мокроусов Анатолій Олексійович","14.4.1943"
1,"Причкін Олексій Олексійович","19.1.1938"
1,"Гоменюк Іван Артемович","11.6.1943"
1,"Олійник Борис Ілліч","22.10.1935"
1,"Бойко Іван Григорович","8.2.1956"
1,"Білий Леонід Савелійович","26.12.1940"
1,"Воробйов Олександр Костянтинович","25.8.1934"
1,"Петренко Володимир Оникійович","21.4.1947"
1,"Лук’яненко Левко Григорович","24.8.1927"
1,"Костицький Василь Васильович","20.6.1956"
1,"Чучук Маркіян Євгенович","11.3.1961"
1,"Голубець Михайло Андрійович","30.10.1930"
1,"Пушик Степан Григорович","26.1.1944"
1,"Мовчан Павло Михайлович","13.7.1939"
1,"Шовкошитний Володимир Федорович","16.7.1956"
1,"Волковецький Степан Васильович","30.1.1947"
1,"Шлемко Володимир Теофілович","14.1.1955"
1,"Дума Зіновій Євгенович","28.2.1956"
1,"Пиріг Любомир Антонович","1.3.1931"
1,"Новицький Євген Антонович","10.7.1932"
1,"Захарук Дмитро Васильович","16.2.1940"
1,"Ребрик Богдан Васильович","30.7.1938"
1,"Осадчук Петро Ілліч","2.12.1937"
1,"Васильєва (Булига) Галина Іванівна","19.1.1941"
1,"Макеєнко Володимир Володимирович","17.8.1965"
1,"Ємець Олександр Іванович","1.1.1959"
1,"Капштик Іван Маркович","1939"
1,"Хоменко Володимир Миколайович","26.7.1959"
1,"Михайлюк Василь Петрович","3.1.1949"
1,"Андріяка Олександр Олександрович","29.10.1952"
1,"Куцай Іван Леонтійович","5.8.1942"
1,"Мартинчук Василь Йосипович","23.9.1938"
1,"Коваленко Микола Митрофанович","2.5.1941"
1,"Ейсмонт Володимир Юхимович","5.6.1938"
1,"Сінько Василь Данилович","5.10.1939"
1,"Єщенко Валентина Миколаївна","10.8.1946"
1,"Рябоконь Олександр Григорович","15.4.1958"
1,"Гуренко Станіслав Іванович","30.5.1936"
1,"Андрощук Василь Овер’янович","26.2.1948"
1,"Костенко Юрій Іванович","12.6.1951"
1,"Нечипоренко Олександр Лаврович","1.9.1947"
1,"Плющ Іван Степанович","11.9.1941"
1,"Ніколаєнко Іван Андрійович","28.1.1944"
1,"Швець Валентин Родіонович","27.9.1939"
1,"Мороз Олександр Олександрович","29.2.1944"
1,"Панченко Володимир Євгенович","2.9.1954"
1,"Шишкін Віктор Іванович","14.3.1952"
1,"Тарасенко Олександр Григорович","27.10.1943"
1,"Павленко Фелікс Омелянович","10.11.1940"
1,"Яворівський Володимир Олександрович","1942"
1,"Мокін Борис Іванович","3.1.1943"
1,"Дурдинець Василь Васильович","27.9.1937"
1,"Ігнатенко Володимир Володимирович","20.1.1937"
1,"Крючков Василь Дмитрович","16.4.1928"
1,"Желіба Володимир Іванович","24.2.1934"
1,"Мусієнко Іван Михайлович","13.2.1943"
1,"Мармазов Євген Васильович","14.6.1938"
1,"Ступніков Юрій Іванович","12.3.1942"
