"tvo","num_voters","num_stations","description","district"
"ТВО №1","158770","94","Центр: місто Сімферополь, Залізничний районТВО включає: Центральний, Залізничний райони в місті Сімферополі","Автономна Республіка Крим"
"ТВО №2","120785","73","Центр: місто  Сімферополь, Київський районТВО включає: Київський район у місті Сімферополі","Автономна Республіка Крим"
"ТВО №3","157628","164","Центр: місто  ДжанкойТВО включає: місто  Джанкой, Джанкойський, Красногвардійський райони","Автономна Республіка Крим"
"ТВО №4","172139","136","Центр: місто  ЄвпаторіяТВО включає: міста Євпаторія, Саки; Сакський район","Автономна Республіка Крим"
"ТВО №5","162740","117","Центр: місто КерчТВО включає: місто Керч; Ленінський район","Автономна Республіка Крим"
"ТВО №6","147054","111","Центр: місто ФеодосіяТВО включає: міста Феодосія, Судак, Кіровський район","Автономна Республіка Крим"
"ТВО №7","144711","105","Центр: місто ЯлтаТВО включає: міста Ялта, Алушта","Автономна Республіка Крим"
"ТВО №8","112963","126","Центр: смт СовєтськийТВО включає: Білогірський, Нижньогірський, Совєтський райони","Автономна Республіка Крим"
"ТВО №9","142324","151","Центр: смт РоздольнеТВО включає: міста Красноперекопськ, Армянськ; Красноперекопський, Первомайський, Роздольненський, Чорноморський райони","Автономна Республіка Крим"
"ТВО №10","189724","160","Центр: місто  СімферопольТВО включає: Сімферопольський,  Бахчисарайський райони","Автономна Республіка Крим"
"ТВО №11","193056","112","Центр: місто ВінницяТВО включає: території колишніх Ленінського та  Староміського районів у місті Вінниці","Вінницька область"
"ТВО №12","152000","115","Центр: місто ВінницяТВО включає: територія колишнього Замостянського району у місті Вінниці; Вінницький район","Вінницька область"
"ТВО №13","152202","236","Центр: місто КалинівкаТВО включає: міста Козятин, Хмільник; Калинівський, Козятинський, Хмільницький райони","Вінницька область"
"ТВО №14","155938","260","Центр: місто ЖмеринкаТВО включає: місто Жмеринка; Барський, Жмеринський, Літинський, Мурованокуриловецький райони","Вінницька область"
"ТВО №15","149362","287","Центр: місто ІллінціТВО включає: Гайсинський, Іллінецький, Липовецький, Оратівський, Погребищенський райони","Вінницька область"
"ТВО №16","162459","236","Центр: місто НемирівТВО включає: Немирівський, Тиврівський, Тульчинський, Шаргородський райони","Вінницька область"
"ТВО №17","154686","202","Центр: смт ТростянецьТВО включає: місто Ладижин; Бершадський, Піщанський, Теплицький, Тростянецький, Чечельницький райони","Вінницька область"
"ТВО №18","155955","214","Центр: місто ЯмпільТВО включає: місто Могилів-Подільський; Крижопільський, Могилів-Подільський, Томашпільський, Чернівецький, Ямпільський райони","Вінницька область"
"ТВО №19","144691","222","Центр: місто Володимир-ВолинськийТВО включає: міста Володимир-Волинський, Нововолинськ; Володимир-Волинський, Іваничівський, Любомльський райони","Волинська область"
"ТВО №20","157614","314","Центр: місто ГорохівТВО включає: Горохівський, Локачинський, Луцький, Рожищенський, Турійський райони","Волинська область"
"ТВО №21","155729","249","Центр: місто КовельТВО включає: місто Ковель; Ковельський, Ратнівський, Старовижівський, Шацький райони","Волинська область"
"ТВО №22","157805","83","Центр: місто ЛуцькТВО включає: місто Луцьк","Волинська область"
"ТВО №23","159943","261","Центр: смт МаневичіТВО включає: Камінь-Каширський, Ківерцівський, Любешівський, Маневицький райони","Волинська область"
"ТВО №24","125981","59","Центр: місто Дніпропетровськ, Амур-Нижньодніпровський районТВО включає: Амур-Нижньодніпровський район у місті Дніпропетровську","Дніпропетровська область"
"ТВО №25","164274","90","Центр: місто Дніпропетровськ, Індустріальний районТВО включає: Індустріальний, Самарський райони в місті Дніпропетровську","Дніпропетровська область"
"ТВО №26","117718","69","Центр: місто Дніпропетровськ, Жовтневий районТВО включає: Жовтневий район у місті Дніпропетровську","Дніпропетровська область"
"ТВО №27","112197","57","Центр: місто Дніпропетровськ, Бабушкінський районТВО включає: Бабушкінський район у місті Дніпропетровську, селище міського типу Авіаторське Дніпропетровської міської ради","Дніпропетровська область"
"ТВО №28","139899","86","Центр: місто Дніпропетровськ, Красногвардійський районТВО включає: Красногвардійський, Кіровський райони в місті Дніпропетровську","Дніпропетровська область"
"ТВО №29","137133","73","Центр: місто Дніпропетровськ, Ленінський районТВО включає: Ленінський район у місті Дніпропетровську","Дніпропетровська область"
"ТВО №30","194455","98","Центр: місто ДніпродзержинськТВО включає: місто Дніпродзержинськ, селище міського типу Карнаухівка; селище Світле Баглійської районної в місті Дніпродзержинську ради","Дніпропетровська область"
"ТВО №31","175110","99","Центр: місто Кривий Ріг, Жовтневий районТВО включає: Жовтневий, Тернівський райони в місті Кривому Розі; селища Гірницьке, Коломійцеве, села Новоіванівка і Тернуватий Кут Криворізької міської ради","Дніпропетровська область"
"ТВО №32","186179","98","Центр: місто Кривий Ріг, Саксаганський районТВО включає:  Саксаганський, Довгинцівський райони міста Кривого Рогу","Дніпропетровська область"
"ТВО №33","165735","99","Центр: місто Кривий Ріг, Дзержинський районТВО включає: Дзержинський, Інгулецький, Центрально-Міський райони в місті Кривому Розі, селище Авангард Криворізької міської ради","Дніпропетровська область"
"ТВО №34","135160","112","Центр: місто ВерхньодніпровськТВО включає: Верхньодніпровський, П'ятихатський райони; міста Вільногірськ, Жовті Води; село Суха Балка Жовтоводської міської ради","Дніпропетровська область"
"ТВО №35","173964","116","Центр: місто НікопольТВО включає: Нікопольський район; міста Марганець, Нікополь; селище міського типу Мар'ївка, селище Максимівка Марганецької міської ради","Дніпропетровська область"
