num_voters_parl,description_parl,num_stations_parl,tvo_parl,city_neighborhood_parl,tvo_pres,city_neighborhood_pres
157732,"Центр: місто Сімферополь, Центральний район",94,1,"Залізничний район міста Сімферополя з населеними пунктами Залізничної районної в місті Сімферополі ради, Центральний район міста Сімферополя",1,"Центральний, Залізничний райони в місті Сімферополі"
146693,"Центр: місто Сімферополь, Київський район",98,2,"Київський район міста Сімферополя з населеними пунктами Київської районної в місті Сімферополі ради, частина Сімферопольського району (виборчі дільниці № 010583 – 010595, 010601 – 010603, 010631 –010637, 010647, 010648)",2,Київський район у місті Сімферополі
157096,Центр: місто Джанкой,164,3,"місто Джанкой, Джанкойський, Красногвардійський райони",3,"місто Джанкой, Джанкойський, Красногвардійський райони"
171077,Центр: місто Євпаторія,136,4,"міста Євпаторія з населеними пунктами Євпаторійської міської ради, Саки, Сакський район",4,"міста Євпаторія, Саки, Сакський район"
138219,Центр: місто Керч,98,5,"місто Керч, частина Ленінського району (виборчі дільниці № 010346 – 010350, 010352 – 010356, 010358, 010360, 010362, 010363, 010365, 010366, 010370 – 010374, 010379, 010380, 010382 – 010384)",5,"місто Керч, Ленінський район"
145125,Центр: місто Феодосія,107,6,"місто Феодосія з населеними пунктами Феодосійської міської ради, Кіровський район, частина Ленінського району (виборчі дільниці № 010343, 010357, 010359, 010364, 010367 – 010369, 010375, 010376, 010378, 010386 – 010394)",6,"міста Феодосія, Судак, Кіровський район"
143851,Центр: місто Ялта,105,7,"міста Алушта, Ялта з населеними пунктами Алуштинської та Ялтинської міських рад",7,"міста Ялта, Алушта"
142955,Центр: смт Совєтський,154,8,"місто Судак з населеними пунктами Судацької міської ради, Білогірський, Нижньогірський, Совєтський райони, частина Сімферопольського району (виборчі дільниці № 010608, 010609, 010612 –010614)",8,"Білогірський, Нижньогірський, Совєтський райони"
141638,Центр: смт Первомайське,151,9,"міста Армянськ з населеними пунктами Армянської міської ради, Красноперекопськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони",9,"міста Красноперекопськ, Армянськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони"
156729,Центр: місто Сімферополь,130,10,"Бахчисарайський район, частина Сімферопольського району (виборчі дільниці № 010564 – 010582, 010596 – 010600, 010604 – 010607, 010610, 010611, 010615 – 010630, 010638 – 010646)",10,"Сімферопольський, Бахчисарайський райони"
170236,Центр: місто Вінниця,112,11,"частина міста Вінниці (виборчі дільниці № 051477 – 051547, 051575 – 051586), частина Вінницького району (виборчі дільниці № 050130 –050137, 050145, 050149, 050154 – 050156, 050161, 050162, 050164 – 050167, 050185 – 050192)",11,території колишніх Ленінського та Староміського районів у місті Вінниці
177067,Центр: місто Вінниця,115,12,"частина міста Вінниці (виборчі дільниці № 051435 – 051476, 051548 – 051569, 051571 – 051574, 051587 – 051590, 051670), частина Вінницького району (виборчі дільниці № 050125 – 050129, 050138 – 050144, 050146 – 050148, 050150 – 050153, 050157 – 050160, 050163, 050168 – 050184)",12,"територія колишнього Замостянського району у місті Вінниці, Вінницький район"
152154,Центр: місто Калинівка,236,13,"міста Козятин, Хмільник, Калинівський, Козятинський, Хмільницький райони",13,"міста Козятин, Хмільник, Калинівський, Козятинський, Хмільницький райони"
168048,Центр: місто Жмеринка,271,14,"місто Жмеринка, Барський, Жмеринський, Літинський, Тиврівський райони",14,"місто Жмеринка, Барський, Жмеринський, Літинський, Мурованокуриловецький райони"
156448,Центр: місто Шаргород,215,15,"Мурованокуриловецький, Томашпільський, Тульчинський, Чернівецький, Шаргородський райони",15,"Гайсинський, Іллінецький, Липовецький, Оратівський, Погребищенський райони"
143871,Центр: місто Ямпіль,197,16,"місто Могилів-Подільський, Крижопільський, Могилів-Подільський, Піщанський, Чечельницький, Ямпільський райони",18,"місто Могилів-Подільський, Крижопільський, Могилів-Подільський, Томашпільський, Чернівецький, Ямпільський райони"
165147,Центр: місто Ладижин,216,17,"місто Ладижин, Бершадський, Гайсинський, Теплицький, Тростянецький райони",17,"місто Ладижин, Бершадський, Піщанський, Теплицький, Тростянецький, Чечельницький райони"
141977,Центр: місто Іллінці,298,18,"Іллінецький, Липовецький, Немирівський, Оратівський, Погребищенський райони",16,"Немирівський, Тиврівський, Тульчинський, Шаргородський райони"
144487,Центр: місто Володимир-Волинський,222,19,"міста Володимир-Волинський, Нововолинськ, Володимир-Волинський, Іваничівський, Любомльський райони",19,"міста Володимир-Волинський, Нововолинськ, Володимир-Волинський, Іваничівський, Любомльський райони"
157749,Центр: місто Горохів,314,20,"Горохівський, Локачинський, Луцький, Рожищенський, Турійський райони",20,"Горохівський, Локачинський, Луцький, Рожищенський, Турійський райони"
155723,Центр: місто Ковель,249,21,"місто Ковель, Ковельський, Ратнівський, Старовижівський, Шацький райони",21,"місто Ковель, Ковельський, Ратнівський, Старовижівський, Шацький райони"
157536,Центр: місто Луцьк,84,22,місто Луцьк,22,місто Луцьк
160139,Центр: смт Маневичі,262,23,"Камінь-Каширський, Ківерцівський, Любешівський, Маневицький райони",23,"Камінь-Каширський, Ківерцівський, Любешівський, Маневицький райони"
