"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Декларація","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"АксеновСергій Валерійович","народився 26 листопада 1972 року в місті Бєльци, Молдова, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ ""Фірма ""Ескада"", член Політичної партії ""Руська Єдність"", проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Руська Єдність"".","Політична партія ""Руська Єдність""","","","15.08.2012","","1"
"БасарабВіталій Геннадійович","народився 21 червня 1961 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, підприємство ""Група В"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""НОВА ПОЛІТИКА"".","Політична партія ""НОВА ПОЛІТИКА""","","","13.08.2012","","1"
"БондаренкоВолодимир Анатолійович","народився 4 грудня 1966 року в селі Найденівка Красногвардійського району Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, пенсіонер, безпартійний, проживає в місті Сімферополі, судимість відсутня, суб’єкт висування – Політична партія ""Держава"".","Політична партія ""Держава""","","","07.08.2012","","1"
"ВеселовськийСергій Михайлович","народився 31 сiчня 1967 року в селищі Красногвардійське Красногвардійського району Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","13.08.2012","","1"
"ВолковОлександр Петрович","народився 6 вересня 1946 року в радгоспі Первомайський Скопинського району Рязанської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","10.08.2012","","1"
"ВольнюкОлександр Григорович","народився 19 сiчня 1977 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник керуючого, ПАТ ""ПУМб"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Зелені"".","Політична партія ""Зелені""","","","08.08.2012","","1"
"ГрачЛеонід Іванович","народився 1 сiчня 1948 року в селі Бродецьке Комсомольського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","1"
"ДзозВіталіна Олексіївна","народилася 16 листопада 1955 року в місті Кривий Ріг Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, Міністр освіти і науки, молоді та спорту Автономної Республіки Крим, Рада міністрів Автономної Республіки Крим, член Партії регіонів, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","1"
"ДоценкоСергій Миколайович","народився 27 липня 1979 року в селі Ромашкине Сакського району Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Сімферополі Автономної  Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","1"
"ЖудєєвДмитро Олександрович","народився 1 грудня 1982 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Шевр"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Соціально-екологічна партія ""Союз. Чорнобиль. Україна."".","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""","","","13.08.2012","","1"
"ЛазебніковСергій Юрійович","народився 22 квiтня 1984 року в селі П’ятихатка Красногвардійського району Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, фізична особа – підприємець Новіков В.С., безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Народна ініціатива"".","Політична партія ""Народна ініціатива""","","","06.08.2012","","1"
