"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"БазелюкВолодимир Васильович","народився 13 квiтня 1980 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"БерезовськийВ’ячеслав Миколайович","народився 11 серпня 1963 року в смт Крижопіль Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, приватна фірма ""Лев"", член політичної партії Конгрес Українських Націоналістів, проживає в смт Крижопіль Вінницької області, судимість відсутня, суб’єкт висування – політична партія Конгрес Українських Націоналістів.","політична партія Конгрес Українських Націоналістів","","30.09.2014","","11"
"БригаОльга Геннадіївна","народилася 2 червня 1976 року в місті Одесі, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в селі Щаслива Липовецького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"".","Політична партія ""Опозиційний блок""","","29.09.2014","","11"
"ГригоревськаЛюдмила Миколаївна","народилася 7 липня 1973 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач неврологічного відділення, Міська клінічна лікарня № 1 міста Вінниці, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"ДобровольськийВіталій Олександрович","народився 28 липня 1951 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ПП ""Експертно-науково-дослідний центр ""Експертиза"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","29.09.2014","08.10.2014звернення із заявою про відмову балотуватися","11"
"ДомбровськийОлександр Георгійович","народився 7 липня 1962 року в місті Калинівка Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","11"
"ЗєрщиковОлександр Володимирович","народився 20 сiчня 1985 року в селищі Кріпенське міста Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрист, ТОВ ""Вінницький обласний автоучбовий комбінат"", безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".","Політична партія ""Об’єднання ""САМОПОМІЧ""","","25.09.2014","","11"
"КозловаТетяна Анатоліївна","народилася 13 грудня 1972 року в місті Луцьку Волинської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, юрисконсульт, ТОВ ""Легат"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"МаксимчукБорис Анатолійович","народився 20 березня 1978 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент, Вінницький державний педагогічний університет імені Михайла Коцюбинського, член Політичної партії ""Європейська партія України"", проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","11"
"МатищукСтаніслав Вадимович","народився 11 вересня 1987 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, другий секретар, Вінницький районний комітет Комуністичної партії України, член Комуністичної партії України, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","11"
"МельникОлександр Володимирович","народився 5 сiчня 1963 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""Поліграфічний центр ""Енозіс"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","11"
"ПаризькийІгор Володимирович","народився 20 сiчня 1973 року в селі Дашкiвці Лiтинського району Вiнницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Української республіканської партії, проживає в селі Ксаверівка Вінницького району Вінницької області, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","11"
"ПетькоМаксим Григорович","народився 2 листопада 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""ТАУ-Поділля"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","11"
"ПогребнякВалентина Іванівна","народилася 17 сiчня 1968 року в селі Бохоники Вінницького району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"ПоплавськийОлександр Анатолійович","народився 3 грудня 1985 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","11"
"ПоповичМихайло Миколайович","народився 11 лютого 1952 року в селі Вища Кропивна Немирівського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ  ""ХАЙТЕК СИСТЕМИ"" група, член політичної партії ""Праведність"", проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"РябоконьОлексій Володимирович","народився 21 березня 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ"".","ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""","","26.09.2014","","11"
"СобенкоНадія Богданівна","народилася 23 квiтня 1979 року в місті Рогатин Івано-Франківської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, редактор, ТОВ ""УНІАН"", безпартійнa, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"СолейкоНаталія Петрівна","народилася 21 лютого 1952 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Вінницька обласна рада, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","11"
"АлєксєнцеваАлла Ростиславівна","народилася 26 жовтня 1961 року в смт Тиврів Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","09.10.2014","","12"
