"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Декларація","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo","gender","age","job","city"
"Аксенов Сергій Валерійович","народився 26 листопада 1972 року в місті Бєльци, Молдова, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ ""Фірма ""Ескада"", член Політичної партії ""Руська Єдність"", проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Руська Єдність"".","Політична партія ""Руська Єдність""","","","15.08.2012","","1","M",47,"заступник директора","проживає в місті Сімферополі Автономної Республіки Крим"
"Басараб Віталій Геннадійович","народився 21 червня 1961 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, підприємство ""Група В"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""НОВА ПОЛІТИКА"".","Політична партія ""НОВА ПОЛІТИКА""","","","13.08.2012","","1","M",58,"директор","проживає в місті Сімферополі Автономної Республіки Крим"
"Бондаренко Володимир Анатолійович","народився 4 грудня 1966 року в селі Найденівка Красногвардійського району Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, пенсіонер, безпартійний, проживає в місті Сімферополі, судимість відсутня, суб’єкт висування – Політична партія ""Держава"".","Політична партія ""Держава""","","","07.08.2012","","1","M",53,"пенсіонер","проживає в місті Сімферополі"
"Веселовський Сергій Михайлович","народився 31 сiчня 1967 року в селищі Красногвардійське Красногвардійського району Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","13.08.2012","","1","M",52,"тимчасово не працює","проживає в місті Сімферополі Автономної Республіки Крим"
"Волков Олександр Петрович","народився 6 вересня 1946 року в радгоспі Первомайський Скопинського району Рязанської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","10.08.2012","","1","M",73,"пенсіонер","проживає в місті Сімферополі Автономної Республіки Крим"
"Вольнюк Олександр Григорович","народився 19 сiчня 1977 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник керуючого, ПАТ ""ПУМб"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Зелені"".","Політична партія ""Зелені""","","","08.08.2012","","1","M",42,"заступник керуючого","проживає в місті Сімферополі Автономної Республіки Крим"
"Грач Леонід Іванович","народився 1 сiчня 1948 року в селі Бродецьке Комсомольського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","1","M",71,"народний депутат України","проживає в місті Сімферополі Автономної Республіки Крим"
"Дзоз Віталіна Олексіївна","народилася 16 листопада 1955 року в місті Кривий Ріг Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, Міністр освіти і науки, молоді та спорту Автономної Республіки Крим, Рада міністрів Автономної Республіки Крим, член Партії регіонів, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","1","F",64,"Міністр освіти і науки","проживає в місті Сімферополі Автономної Республіки Крим"
"Доценко Сергій Миколайович","народився 27 липня 1979 року в селі Ромашкине Сакського району Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Сімферополі Автономної  Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","1","M",40,"тимчасово не працює","проживає в місті Сімферополі Автономної  Республіки Крим"
"Жудєєв Дмитро Олександрович","народився 1 грудня 1982 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Шевр"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Соціально-екологічна партія ""Союз. Чорнобиль. Україна."".","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""","","","13.08.2012","","1","M",37,"директор","проживає в місті Сімферополі Автономної Республіки Крим"
