partia,unique,keep
самовисування,1,
політична партія всеукраїнське обєднання батьківщина,1,
комуністична партія україни,0,комуністична партія україни
політична партія опозиційний блок,1,
партія регіонів,1,
політична партія слуга народу,1,
політична партія удар український демократичний альянс за реформи віталія кличка,1,
радикальна партія олега ляшка,0,радикальна партія олега ляшка
політична партія всеукраїнське обєднання свобода,1,
політична партія опозиційна платформа  за життя,1,
партія блок петра порошенка,0,політична партія європейська солідарність
політична партія європейська солідарність,0,політична партія європейська солідарність
політична партія народний фронт,1,
партія сергія тігіпка сильна україна,1,
партія наталії королевської україна  вперед,1,
політична партія сила і честь,1,
політична партія голос,1,
політична партія радикальна партія олега ляшка,0,радикальна партія олега ляшка
політична партія обєднання самопоміч,1,
соціалістична партія україни,1,
народна партія,0,народна партія
аграрна партія україни,0,народна партія
політична партія блок лівих сил україни,0,комуністична партія україни
українська народна партія,1,
ліберальна партія україни,1,
політична партія правий сектор,1,
політична партія патріот,1,
політична партія всеукраїнське аграрне обєднання заступ,1,
політична партія воля,1,
українська партія зелена планета,1,
політична партія громадянська позиція,1,
політична партія конгрес українських націоналістів,1,
політична партія сила людей,1,
політична партія нова політика,1,
політична партія наша україна,1,
політична партія народний рух україни,1,
політична партія разом сила,1,
політична партія зелені,1,
політична партія українська платформа собор,1,
партія зелених україни,1,
політична партія україна майбутнього,1,
політична партія єдиний центр,1,
партія віче,1,
партія обєднані ліві і селяни,0,партія справедливість
партія солідарність жінок україни,1,
політична партія держава,1,
політична партія народна ініціатива,1,
партія союз,1,
соціальноекологічна партія союз чорнобиль україна,1,
українська морська партія,1,
партія справедливість,0,партія справедливість
політична партія демократичний альянс,1,
