"oblast","TVO_parl","city_neighborhood_parl","TVO_pres","city_neighborhood_pres","age_2012","pop_change_2012","region_ideology"
"Автономна Республіка Крим",1,"Залізничний район міста Сімферополя з населеними пунктами Залізничної районної в місті Сімферополі ради, Центральний район міста Сімферополя",1,"Центральний, Залізничний райони в місті Сімферополі",40.4,1.1,"blue"
"Автономна Республіка Крим",2,"Київський район міста Сімферополя з населеними пунктами Київської районної в місті Сімферополі ради, частина Сімферопольського району (виборчі дільниці № 010583 – 010595, 010601 – 010603, 010631 –010637, 010647, 010648)",2,"Київський район у місті Сімферополі",40.4,1.1,"blue"
"Автономна Республіка Крим",3,"місто Джанкой, Джанкойський, Красногвардійський райони",3,"місто Джанкой, Джанкойський, Красногвардійський райони",40.4,1.1,"blue"
"Автономна Республіка Крим",4,"міста Євпаторія з населеними пунктами Євпаторійської міської ради, Саки, Сакський район",4,"міста Євпаторія, Саки, Сакський район",40.4,1.1,"blue"
"Автономна Республіка Крим",5,"місто Керч, частина Ленінського району (виборчі дільниці № 010346 – 010356, 010358, 010360 – 010363, 010365, 010366, 010370 –010374, 010379 – 010385)",5,"місто Керч, Ленінський район",40.4,1.1,"blue"
"Автономна Республіка Крим",6,"місто Феодосія з населеними пунктами Феодосійської міської ради, Кіровський район, частина Ленінського району (виборчі дільниці № 010343 – 010345, 010357, 010359, 010364, 010367 – 010369, 010375 –010378, 010386 – 010394)",6,"міста Феодосія, Судак, Кіровський район",40.4,1.1,"blue"
"Автономна Республіка Крим",7,"міста Алушта, Ялта з населеними пунктами Алуштинської та Ялтинської міських рад",7,"міста Ялта, Алушта",40.4,1.1,"blue"
"Автономна Республіка Крим",8,"місто Судак з населеними пунктами Судацької міської ради, Білогірський, Нижньогірський, Совєтський райони, частина Сімферопольського району (виборчі дільниці № 010608, 010609, 010612 – 010614)",8,"Білогірський, Нижньогірський, Совєтський райони",40.4,1.1,"blue"
"Автономна Республіка Крим",9,"міста Армянськ з населеними пунктами Армянської міської ради, Красноперекопськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони",9,"міста Красноперекопськ, Армянськ, Красноперекопський, Первомайський, Роздольненський, Чорноморський райони",40.4,1.1,"blue"
"Автономна Республіка Крим",10,"Бахчисарайський район, частина Сімферопольського району (виборчі дільниці № 010564 – 010582, 010596 – 010600, 010604 – 010607, 010610, 010611, 010615 – 010630, 010638 – 010646)",10,"Сімферопольський, Бахчисарайський райони",40.4,1.1,"blue"
