code,name,здійснення заходів щодо соціально-економічного розвитку окремих територій,TVO_2014
1100000000,Бюджет Автономної Республіки Крим,,
2100000000,Обласний бюджет Вінницької області,,
3100000000,Обласний бюджет Волинської області,,
4100000000,Обласний бюджет Дніпропетровської області,"15,000.0",
5100000000,Обласний бюджет Донецької області,"175,000.0",
6100000000,Обласний бюджет Житомирської області,,
7100000000,Обласний бюджет Закарпатської області,,
8100000000,Обласний бюджет Запорізької області,"2,500.0",
9100000000,Обласний бюджет Івано-Франківської області,,
10100000000,Обласний бюджет Київської області,"5,000.0",
11100000000,Обласний бюджет Кіровоградської області,"30,000.0",
12100000000,Обласний бюджет Луганської області,"140,000.0",
13100000000,Обласний бюджет Львівської області,,
14100000000,Обласний бюджет Миколаївської області,,
15100000000,Обласний бюджет Одеської області,,
16100000000,Обласний бюджет Полтавської області,,
17100000000,Обласний бюджет Рівненської області,,
18100000000,Обласний бюджет Сумської області,,
19100000000,Обласний бюджет Тернопільської області,,
20100000000,Обласний бюджет Харківської області,,
21100000000,Обласний бюджет Херсонської області,,
22100000000,Обласний бюджет Хмельницької області,,
23100000000,Обласний бюджет Черкаської області,,
24100000000,Обласний бюджет Чернівецької області,"5,000.0",
25100000000,Обласний бюджет Чернігівської області,,
26000000000,Міський бюджет міста Києва,846,211
26000000000,Міський бюджет міста Києва,846,212
26000000000,Міський бюджет міста Києва,846,213
26000000000,Міський бюджет міста Києва,846,214
26000000000,Міський бюджет міста Києва,846,215
26000000000,Міський бюджет міста Києва,846,216
26000000000,Міський бюджет міста Києва,846,217
26000000000,Міський бюджет міста Києва,846,218
26000000000,Міський бюджет міста Києва,846,219
26000000000,Міський бюджет міста Києва,846,220
26000000000,Міський бюджет міста Києва,846,221
26000000000,Міський бюджет міста Києва,846,222
26000000000,Міський бюджет міста Києва,846,223
27000000000,Міський бюджет міста Севастополя,,
5202000000,м. Авдіївка,"1,100.0",45
5203000000,"м. Артемівськ (у тому числі для м. Часів Яр - 10000,0 тис.грн.)","45,000.0",46
10202000000,м. Бiла Церква,"8,000.0",90
13202000000,"м. Борислав (у тому числі для смт. Східниця - 8000,0 тис.грн.)","18,000.0",121
2201000000,м. Вінниця,,
18202000000,м.Глухів,"11,000.0",159
1204000000,м. Джанкой,"2,600.0",3
5206000000,м. Дебальцеве,"1,500.0",52
5208000000,м. Димитров,"1,200.0",50
4203000000,м. Днiпродзержинськ (для смт. Романково),"3,000.0",40
4201000000,м. Днiпропетровськ,,
5201000000,м. Донецьк,"20,000.0",41
13203000000,м. Дрогобич,"10,000.0",121
4204000000,м. Жовтi Води,,
8201000000,м. Запоріжжя,,
15203000000,м. Ізмаїл,"5,000.0",143
15204000000,м. Іллічівськ,"20,000.0",140
10206000000,м. Iрпiнь,"5,000.0",95
22202000000,"м. Кам""янець-Подiльський","1,000.0",193
11201000000,м. Кіровоград,,
5215000000,м. Костянтинівка,"1,500.0",49
5217000000,м. Красний Лиман,"7,000.0",46
4205000000,м. Кривий Рiг,5000,31
4205000000,м. Кривий Рiг,5000,32
4205000000,м. Кривий Рiг,5000,33
4205000000,м. Кривий Рiг,5000,37
12201000000,м. Луганськ,"50,000.0",104
3201000000,м. Луцьк,,
13201000000,м. Львів,,
8204000000,м. Мелітополь,"17,000.0",80
14201000000,м. Миколаїв,,
6204000000,м. Новоград-Волинський,"50,000.0",65
4208000000,м. Новомосковськ,"3,000.0",38
15201000000,м. Одеса,8750,133
15201000000,м. Одеса,8750,134
15201000000,м. Одеса,8750,135
15201000000,м. Одеса,8750,136
4210000000,м. Павлоград,,36
16201000000,м. Полтава,,
5222000000,м. Селидове,"1,800.0",59
10209000000,м. Славутич,,
12214000000,м. Стаханов,"15,000.0",106
8205000000,м. Токмак,"4,600.0",81
10210000000,м. Фастiв,"23,000.0",91
