"","deputat","partia","perc_for","votes_for","tvo","oblast","year","tvo_pres","pres_candidate","pres_perc_for","pres_votes_for"
"1","Дзоз Віталіна Олексіївна","Партія регіонів",38.76,27937,1,"Автономна Республіка Крим",2012,1,"Янукович",58.1527001862197,62456
"2","Грач Леонід Іванович","самовисування",17.98,12960,1,"Автономна Республіка Крим",2012,1,NA,0,0
"3","Соломахін Олег Андрійович","Комуністична партія України",10.58,7630,1,"Автономна Республіка Крим",2012,1,"Симоненко",4.34171322160149,4663
"4","Аксенов Сергій Валерійович","Політична партія ""Руська Єдність""",9.12,6575,1,"Автономна Республіка Крим",2012,1,NA,0,0
"5","Доценко Сергій Миколайович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.71,4838,1,"Автономна Республіка Крим",2012,1,NA,0,0
"6","Лобачев Сергій Миколайович","політична партія Всеукраїнське об’єднання ""Батьківщина""",6.22,4485,1,"Автономна Республіка Крим",2012,1,"Тимошенко",10.7932960893855,11592
"7","Семенова Лариса Іванівна","Партія Зелених України",2.28,1646,1,"Автономна Республіка Крим",2012,1,NA,0,0
"8","Толкачов Володимир Володимирович","Партія Наталії Королевської ""Україна – Вперед!""",1.55,1119,1,"Автономна Республіка Крим",2012,1,NA,0,0
"9","Пузако Володимир Іванович","Українська партія ""Зелена планета""",1.17,847,1,"Автономна Республіка Крим",2012,1,NA,0,0
"10","Волков Олександр Петрович","самовисування",0.88,635,1,"Автономна Республіка Крим",2012,1,NA,0,0
"11","Вольнюк Олександр Григорович","Політична партія ""Зелені""",0.76,551,1,"Автономна Республіка Крим",2012,1,NA,0,0
"12","Веселовський Сергій Михайлович","самовисування",0.69,501,1,"Автономна Республіка Крим",2012,1,NA,0,0
"13","Литвинов Анатолій Анатолійович","Партія ""Об’єднані ліві і селяни""",0.68,492,1,"Автономна Республіка Крим",2012,1,NA,0,0
"14","Чолак Віктор Петрович","самовисування",0.61,445,1,"Автономна Республіка Крим",2012,1,NA,0,0
"15","Фесенко Сергій Вікторович","Українська морська партія",0.49,357,1,"Автономна Республіка Крим",2012,1,NA,0,0
"16","Бондаренко Володимир Анатолійович","Політична партія ""Держава""",0.43,310,1,"Автономна Республіка Крим",2012,1,NA,0,0
