"","deputat","partia","perc_for","votes_for","year","tvo","oblast","tvo_pres","pres_candidate","pres_perc_for","pres_votes_for"
"1","Домбровський Олександр Георгійович","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",51.37,51043,2014,11,"Вінницька область",11,"Порошенко",73.9929020163425,103411
"2","Солейко Наталія Петрівна","політична партія Всеукраїнське об’єднання ""Батьківщина""",12.42,12344,2014,11,"Вінницька область",11,"Тимошенко",9.40840595887176,13149
"3","Зєрщиков Олександр Володимирович","Політична партія ""Об’єднання ""САМОПОМІЧ""",10.31,10250,2014,11,"Вінницька область",11,"NA",0,0
"4","Базелюк Володимир Васильович","самовисування",8.48,8428,2014,11,"Вінницька область",11,"NA",0,0
"5","Максимчук Борис Анатолійович","самовисування",3.56,3545,2014,11,"Вінницька область",11,"NA",0,0
"6","Петько Максим Григорович","Радикальна Партія Олега Ляшка",2.18,2174,2014,11,"Вінницька область",11,"Ляшко",3.83734741481704,5363
"7","Брига Ольга Геннадіївна","Політична партія ""Опозиційний блок""",1.88,1868,2014,11,"Вінницька область",11,"Бойко",0.0636815066042731,89
"8","Матищук Станіслав Вадимович","Комуністична партія України",1.83,1820,2014,11,"Вінницька область",11,"Симоненко",0.642539246411654,898
"9","Григоревська Людмила Миколаївна","самовисування",1.6,1591,2014,11,"Вінницька область",11,"NA",0,0
"10","Паризький Ігор Володимирович","самовисування",1.16,1160,2014,11,"Вінницька область",11,"NA",0,0
"11","Поплавський Олександр Анатолійович","самовисування",1.02,1015,2014,11,"Вінницька область",11,"NA",0,0
"12","Собенко Надія Богданівна","самовисування",0.88,881,2014,11,"Вінницька область",11,"NA",0,0
"13","Мельник Олександр Володимирович","самовисування",0.75,746,2014,11,"Вінницька область",11,"NA",0,0
"14","Погребняк Валентина Іванівна","самовисування",0.74,739,2014,11,"Вінницька область",11,"NA",0,0
"15","Березовський В’ячеслав Миколайович","політична партія Конгрес Українських Націоналістів",0.61,609,2014,11,"Вінницька область",11,"NA",0,0
"16","Рябоконь Олексій Володимирович","ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",0.49,487,2014,11,"Вінницька область",11,"NA",0,0
"17","Козлова Тетяна Анатоліївна","самовисування",0.38,385,2014,11,"Вінницька область",11,"NA",0,0
"18","Попович Михайло Миколайович","самовисування",0.27,269,2014,11,"Вінницька область",11,"NA",0,0
"19","Порошенко Олексій Петрович","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",64.04,62359,2014,12,"Вінницька область",12,"Порошенко",74.6187383541075,82494
"20","Слободянюк Олександр Анатолійович","Політична партія ""Об’єднання ""САМОПОМІЧ""",13.9,13538,2014,12,"Вінницька область",12,"NA",0,0
"21","Сітарський Сергій Миколайович","політична партія Всеукраїнське об’єднання ""Батьківщина""",6.73,6559,2014,12,"Вінницька область",12,"Тимошенко",10.4709010981059,11576
"22","Сич Володимир Володимирович","Радикальна Партія Олега Ляшка",3.21,3133,2014,12,"Вінницька область",12,"Ляшко",3.79090761076035,4191
"23","Алєксєнцева Алла Ростиславівна","самовисування",2.81,2739,2014,12,"Вінницька область",12,"NA",0,0
"24","Бондарчук Іван Миколайович","Комуністична партія України",2.15,2103,2014,12,"Вінницька область",12,"Симоненко",0.525535032653726,581
"25","Ліцький Василь Олексійович","самовисування",1.48,1444,2014,12,"Вінницька область",12,"NA",0,0
"26","Костирко Дмитро Олександрович","Політична партія ""Опозиційний блок""",1.43,1394,2014,12,"Вінницька область",12,"Бойко",0.0714582918754636,79
"27","Майстер Людмила Анатоліївна","самовисування",1.1,1073,2014,12,"Вінницька область",12,"NA",0,0
"28","Дідур Валентин Григорович","Партія Сергія Тігіпка ""Сильна Україна""",1.01,991,2014,12,"Вінницька область",12,"NA",0,0
"29","Болтак Микола Миколайович","ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",0.96,936,2014,12,"Вінницька область",12,"NA",0,0
"30","Петровський Сергій Вікторович","самовисування",0.61,600,2014,12,"Вінницька область",12,"NA",0,0
"31","Перебийніс Володимир Анатолійович","самовисування",0.51,503,2014,12,"Вінницька область",12,"NA",0,0
"32","Юрчишин Петро Васильович","самовисування",44.79,42025,2014,13,"Вінницька область",13,"NA",0,0
"33","Катеринчук Микола Дмитрович","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",41.29,38744,2014,13,"Вінницька область",13,"Порошенко",68.0353160697219,74747
"34","Ісаков Ігор Анатолійович","самовисування",8.02,7533,2014,13,"Вінницька область",13,"NA",0,0
"35","Яремчук Юрій Якович","самовисування",1.82,1708,2014,13,"Вінницька область",13,"NA",0,0
"36","Прохоров Сергій Валерійович","Радикальна Партія Олега Ляшка",1.44,1356,2014,13,"Вінницька область",13,"Ляшко",5.19546716424703,5708
"37","Павлов Федір Петрович","Політична партія ""Опозиційний блок""",0.98,926,2014,13,"Вінницька область",13,"Бойко",0.0773676785145406,85
"38","Філімонова Ірина Іванівна","самовисування",0.93,881,2014,13,"Вінницька область",13,"NA",0,0
"39","Куц Олег Миколайович","самовисування",0.37,353,2014,13,"Вінницька область",13,"NA",0,0
"40","Мустя Сергій Олександрович","самовисування",0.3,289,2014,13,"Вінницька область",13,"NA",0,0
"41","Мельничук Іван Іванович","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",42.57,39564,2014,14,"Вінницька область",14,"Порошенко",67.7484956541119,72957
"42","Білоіван Володимир Олександрович","політична партія Всеукраїнське об’єднання ""Батьківщина""",10.56,9817,2014,14,"Вінницька область",14,"Тимошенко",15.6099101106901,16810
"43","Жеребнюк Віктор Миколайович","самовисування",9.42,8755,2014,14,"Вінницька область",14,"NA",0,0
"44","Онопенко Василь Васильович","самовисування",8.78,8164,2014,14,"Вінницька область",14,"NA",0,0
"45","Мартинюк Анатолій Григорович","самовисування",8.71,8100,2014,14,"Вінницька область",14,"NA",0,0
"46","Чумак Сергій Вікторович","Політична партія ""ПРАВИЙ СЕКТОР""",4.09,3801,2014,14,"Вінницька область",14,"Ярош",0.330584651957507,356
"47","Дикий Микола Борисович","самовисування",3.25,3029,2014,14,"Вінницька область",14,"NA",0,0
"48","Новогребелець Василь Володимирович","Радикальна Партія Олега Ляшка",2.6,2420,2014,14,"Вінницька область",14,"Ляшко",5.8585914865166,6309
"49","Мацюк Борис Петрович","самовисування",2.2,2046,2014,14,"Вінницька область",14,"NA",0,0
"50","Логунов Денис Борисович","Комуністична партія України",1.73,1616,2014,14,"Вінницька область",14,"Симоненко",0.84410519277914,909
"51","Грошовенко Олександр Ілліч","Політична партія ""Опозиційний блок""",1.56,1450,2014,14,"Вінницька область",14,"Бойко",0.120719114478865,130
"52","Молдован Віталій Вікторович","самовисування",1.16,1078,2014,14,"Вінницька область",14,"NA",0,0
"53","Погребняк Валерій Миколайович","самовисування",0.85,793,2014,14,"Вінницька область",14,"NA",0,0
"54","Морозов Сергій Миколайович","самовисування",0.83,779,2014,14,"Вінницька область",14,"NA",0,0
"55","Бабич Геннадій Федорович","самовисування",0.79,737,2014,14,"Вінницька область",14,"NA",0,0
"56","Костенко Олександра Анатоліївна","самовисування",0.68,636,2014,14,"Вінницька область",14,"NA",0,0
"57","Фазилов Сервер Шакірович","самовисування",0.15,146,2014,14,"Вінницька область",14,"NA",0,0
"58","Спориш Іван Дмитрович","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",34.04,27629,2014,15,"Вінницька область",15,"Порошенко",62.6819909132297,67464
"59","Вовк Василь Васильович","Політична партія ""НАРОДНИЙ ФРОНТ""",29.18,23687,2014,15,"Вінницька область",15,"NA",0,0
"60","Кравченко Геннадій Валерійович","самовисування",11.06,8980,2014,15,"Вінницька область",15,"NA",0,0
"61","Банах Анатолій Станіславович","Радикальна Партія Олега Ляшка",6.3,5120,2014,15,"Вінницька область",15,"Ляшко",6.28269332614816,6762
"62","Кудіяров Вадим Ігорович","політична партія Всеукраїнське об’єднання ""Батьківщина""",5.12,4162,2014,15,"Вінницька область",15,"Тимошенко",18.9837311505263,20432
"63","Коваль Катерина Петрівна","самовисування",4.63,3763,2014,15,"Вінницька область",15,"NA",0,0
"64","Литвин Лариса Вікторівна","Політична партія ""Опозиційний блок""",2.08,1696,2014,15,"Вінницька область",15,"Бойко",0.0799041150619257,86
"65","Жмуд Сергій Володимирович","самовисування",1.94,1582,2014,15,"Вінницька область",15,"NA",0,0
"66","Ковальов Володимир Аркадійович","Комуністична партія України",1.68,1365,2014,15,"Вінницька область",15,"Симоненко",0.606713803900436,653
"67","Книжник Андрій Михайлович","самовисування",1.37,1114,2014,15,"Вінницька область",15,"NA",0,0
"68","Семенюк Ольга Степанівна","самовисування",1.08,879,2014,15,"Вінницька область",15,"NA",0,0
"69","Ільченко Костянтин Степанович","самовисування",0.79,645,2014,15,"Вінницька область",15,"NA",0,0
"70","Корчинський Микола Миколайович","самовисування",0.65,531,2014,15,"Вінницька область",15,"NA",0,0
"71","Македон Юрій Миколайович","самовисування",21.61,15352,2014,16,"Вінницька область",18,"NA",0,0
"72","Стаднійчук Роман Васильович","самовисування",21.57,15318,2014,16,"Вінницька область",18,"NA",0,0
"73","Лантух Олег Петрович","самовисування",11.16,7930,2014,16,"Вінницька область",18,"NA",0,0
"74","Калетник Оксана Миколаївна","самовисування",8.44,5996,2014,16,"Вінницька область",18,"NA",0,0
"75","Сірант Володимир Володимирович","політична партія Всеукраїнське об’єднання ""Батьківщина""",8.15,5789,2014,16,"Вінницька область",18,"Тимошенко",18.0140845070423,17906
"76","Поштарук Віталій Васильович","самовисування",7.97,5661,2014,16,"Вінницька область",18,"NA",0,0
"77","Галушко Леонід Володимирович","самовисування",4.15,2952,2014,16,"Вінницька область",18,"NA",0,0
"78","Макушинський Леонід Леонідович","Радикальна Партія Олега Ляшка",2.34,1664,2014,16,"Вінницька область",18,"Ляшко",6.79476861167002,6754
"79","Работинський Олександр Михайлович","Політична партія ""Опозиційний блок""",1.98,1409,2014,16,"Вінницька область",18,"Бойко",0.0814889336016097,81
"80","Петровський Михайло Казимирович","самовисування",1.79,1273,2014,16,"Вінницька область",18,"NA",0,0
"81","Калетник Ірина Василівна","самовисування",1.64,1166,2014,16,"Вінницька область",18,"NA",0,0
"82","Паримський Ігор Святославович","самовисування",1.6,1141,2014,16,"Вінницька область",18,"NA",0,0
"83","Брояка Вадим Францович","самовисування",1.4,996,2014,16,"Вінницька область",18,"NA",0,0
"84","Красна Галина Іванівна","Комуністична партія України",1.35,959,2014,16,"Вінницька область",18,"Симоненко",0.801810865191147,797
"85","Потурнак Іван Євгенійович","політична партія Конгрес Українських Націоналістів",0.84,601,2014,16,"Вінницька область",18,"NA",0,0
"86","Міщенко Микола Юрійович","самовисування",0.65,467,2014,16,"Вінницька область",18,"NA",0,0
"87","Дзюба Олег Валерійович","самовисування",0.63,453,2014,16,"Вінницька область",18,"NA",0,0
"88","Почтар Ігор Євгенович","самовисування",0.62,441,2014,16,"Вінницька область",18,"NA",0,0
"89","Вороненко Олексій Володимирович","самовисування",0.47,337,2014,16,"Вінницька область",18,"NA",0,0
"90","Шевчук Євгенія Іванівна","самовисування",0.43,308,2014,16,"Вінницька область",18,"NA",0,0
"91","Пархоменко Софія Іванівна","самовисування",0.33,235,2014,16,"Вінницька область",18,"NA",0,0
"92","Бухарєв Олег Олексійович","самовисування",0.31,227,2014,16,"Вінницька область",18,"NA",0,0
"93","Матевосян Каріне Артурівна","самовисування",0.3,217,2014,16,"Вінницька область",18,"NA",0,0
"94","Федченко Віталій Васильович","самовисування",0.16,119,2014,16,"Вінницька область",18,"NA",0,0
"95","Кучер Микола Іванович","самовисування",47.63,43203,2014,17,"Вінницька область",17,"NA",0,0
"96","Каленич Павло Євгенійович","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",27.15,24623,2014,17,"Вінницька область",17,"Порошенко",61.9432702898619,65798
"97","Марчук Віталій Іванович","Радикальна Партія Олега Ляшка",6.84,6208,2014,17,"Вінницька область",17,"Ляшко",7.08791881230995,7529
"98","Шостак Юрій-Януарій Васильович","політична партія Всеукраїнське об’єднання ""Батьківщина""",6.43,5834,2014,17,"Вінницька область",17,"Тимошенко",18.599550003295,19757
"99","Грицик Володимир Мартіянович","самовисування",3.29,2988,2014,17,"Вінницька область",17,"NA",0,0
"100","Сколотяний Василь Андрійович","самовисування",3.11,2821,2014,17,"Вінницька область",17,"NA",0,0
"101","Шевчук Руслан Богданович","самовисування",2.44,2219,2014,17,"Вінницька область",17,"NA",0,0
"102","Росляков Єгор Валентинович","Політична партія ""Опозиційний блок""",1.76,1599,2014,17,"Вінницька область",17,"Бойко",0.100731479999623,107
"103","Попенко Ігор Петрович","ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",1.31,1193,2014,17,"Вінницька область",17,"NA",0,0
"104","Демчак Руслан Євгенійович","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",51.68,43955,2014,18,"Вінницька область",16,"Порошенко",64.7850169146904,73921
"105","Калетнік Григорій Миколайович","самовисування",14.82,12607,2014,18,"Вінницька область",16,"NA",0,0
"106","Качур Олександр Вікторович","Радикальна Партія Олега Ляшка",12.48,10622,2014,18,"Вінницька область",16,"Ляшко",6.20672731415751,7082
"107","Якименко Костянтин Вячеславович","політична партія Всеукраїнське об’єднання ""Батьківщина""",11.8,10042,2014,18,"Вінницька область",16,"Тимошенко",18.2836409528317,20862
"108","Куровський Станіслав Євгенович","самовисування",3.21,2735,2014,18,"Вінницька область",16,"NA",0,0
"109","Мельник Микола Євтихійович","самовисування",1.89,1613,2014,18,"Вінницька область",16,"NA",0,0
"110","Плис Валерій Віталійович","Політична партія ""Опозиційний блок""",1.4,1195,2014,18,"Вінницька область",16,"Бойко",0.111303921053093,127
"111","Ігонін Олександр Станіславович","самовисування",1.01,861,2014,18,"Вінницька область",16,"NA",0,0
"112","Формагей Володимир Євгенович","Комуністична партія України",0.86,735,2014,18,"Вінницька область",16,"Симоненко",0.542497064030429,619
"113","Невесенко Олексій Володимирович","самовисування",0.79,680,2014,18,"Вінницька область",16,"NA",0,0
"114","Гузь Ігор Володимирович","Політична партія ""НАРОДНИЙ ФРОНТ""",30.69,27243,2014,19,"Волинська область",19,"NA",0,0
"115","Зінкевич Костянтин Миколайович","самовисування",17.13,15211,2014,19,"Волинська область",19,"NA",0,0
"116","Мельник Євген Іванович","політична партія Всеукраїнське об’єднання ""Свобода""",10.72,9520,2014,19,"Волинська область",19,"Тягнибок",1.93872510182967,2080
"117","Юнак Микола Петрович","самовисування",9.15,8123,2014,19,"Волинська область",19,"NA",0,0
"118","Гупало Юрій Володимирович","самовисування",8.25,7329,2014,19,"Волинська область",19,"NA",0,0
"119","Ярема Віктор Романович","Радикальна Партія Олега Ляшка",7.38,6551,2014,19,"Волинська область",19,"Ляшко",14.3288562453979,15373
"120","Оніщук Андрій Юрійович","політична партія Всеукраїнське об’єднання ""Батьківщина""",6.89,6118,2014,19,"Волинська область",19,"Тимошенко",18.6229459300754,19980
"121","Купира Зінаїда Степанівна","самовисування",2.21,1967,2014,19,"Волинська область",19,"NA",0,0
"122","Буторін Олексій Олексійович","самовисування",2.01,1788,2014,19,"Волинська область",19,"NA",0,0
"123","Скіпальський Олександр Олександрович","самовисування",1.79,1591,2014,19,"Волинська область",19,"NA",0,0
"124","Головатий Сергій Петрович","самовисування",1.74,1546,2014,19,"Волинська область",19,"NA",0,0
"125","Савюк Ганна Павлівна","Комуністична партія України",1.17,1044,2014,19,"Волинська область",19,"Симоненко",0.445533941670473,478
"126","Дзенік Сергій Іванович","самовисування",0.82,731,2014,19,"Волинська область",19,"NA",0,0
"127","Мартиняк Сергій Васильович","самовисування",35.24,36648,2014,20,"Волинська область",20,"NA",0,0
"128","Бондар Володимир Налькович","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",20.53,21353,2014,20,"Волинська область",20,"Порошенко",53.4430175912296,65713
"129","Карпюк Роман Петрович","політична партія Всеукраїнське об’єднання ""Батьківщина""",9.08,9444,2014,20,"Волинська область",20,"Тимошенко",18.0369066111468,22178
"130","Красуля Володимир Анатолійович","самовисування",8.57,8914,2014,20,"Волинська область",20,"NA",0,0
"131","Вдовенко Володимир Васильович","самовисування",7.99,8311,2014,20,"Волинська область",20,"NA",0,0
"132","Цейко Юрій Феодосійович","самовисування",7.81,8124,2014,20,"Волинська область",20,"NA",0,0
"133","Федін В’ячеслав Володимирович","Радикальна Партія Олега Ляшка",5.76,5992,2014,20,"Волинська область",20,"Ляшко",14.6861962117454,18058
"134","Воронко Ігор Васильович","самовисування",1.67,1741,2014,20,"Волинська область",20,"NA",0,0
"135","Чайка Олексій Феофанович","самовисування",1.26,1315,2014,20,"Волинська область",20,"NA",0,0
"136","Саєвич Володимир Михайлович","самовисування",0.85,885,2014,20,"Волинська область",20,"NA",0,0
