УКРАЇНА 45962947 45778534 45633637
Міське населення 31524810 31441649 31380874
Сільське населення 14438137 14336885 14252763
м. Київ 2785131 2799199 2814258
Севастополь (міськрада) 380456 380821 381234
Міське населення 357193 357355 357653
м.Севастополь 340102 340297 340559
м. Інкерман 11862 11884 11921
смт Кача 5229 5174 5173
Сільське населення 23263 23466 23581
Автономна Республіка Крим 1965305 1963514 1963008
Міське населення 1235869 1233965 1232208
Сільське населення 729436 729549 730800
Сімферополь (міськрада) 360536 360615 360096
Міське населення 360357 360448 359930
м. Сімферополь 336588 336330 335582
смт Аграрне 5747 5938 5986
смт Аерофлотський 2228 2254 2296
смт Гресівський 11064 11139 11214
смт Комсомольське 4730 4787 4852
Сільське населення 179 167 166
Алушта (міськрада) 52472 52401 52284
Міське населення 35284 34980 34712
м. Алушта 29191 28919 28642
смт Партеніт 6093 6061 6070
Сільське населення 17188 17421 17572
Армянськ (міськрада) 25095 24996 24875
Міське населення 22711 22592 22468
м. Армянськ 22711 22592 22468
Сільське населення 2384 2404 2407
м. Джанкой 37275 36860 36458
Євпаторія (міськрада) 123147 123090 123344
Міське населення 123147 123090 123344
м. Євпаторія 106846 106698 106840
смт Заозерне 4909 4940 4960
1 Дані оцінки чисельності населення на 1 січня 2010 та 2011рр. наведені в
адміністративно-територіальних межах на 1 січня 2012р.
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ
НА 1 СІЧНЯ
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
38
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Мирний 4211 4210 4203
смт Новоозерне 7181 7242 7341
м. Керч 147269 146516 145845
м. Красноперекопськ 30201 30086 29944
м. Саки 24580 24323 24038
Судак (міськрада) 30044 30294 30514
Міське населення 16270 16395 16472
м. Судак 15171 15300 15368
смт Новий Світ 1099 1095 1104
Сільське населення 13774 13899 14042
Феодосія (міськрада) 105648 105408 105283
Міське населення 94497 94185 94055
м. Феодосія 70392 70043 69786
смт Коктебель 2824 2844 2833
смт Курортне 326 326 331
смт Орджонікідзе 2709 2678 2669
смт Приморський 14824 14860 14938
смт Щебетовка 3422 3434 3498
Сільське населення 11151 11223 11228
Ялта (міськрада) 141226 141304 141365
Міське населення 139827 139885 139944
м. Ялта 78334 78032 78040
м. Алупка 8425 8493 8497
смт Берегове 502 497 494
смт Виноградне 1330 1357 1367
смт Відрадне 651 659 673
смт Восход 448 448 451
смт Гаспра 11312 11313 11300
смт Голуба затока 421 441 438
смт Гурзуф 9108 9068 9056
смт Кацівелі 617 609 617
смт Кореїз 6225 6294 6290
смт Краснокам'янка 1028 1024 1023
смт Курпати 412 411 417
смт Лівадія 1566 1601 1638
смт Масандра 8329 8413 8437
смт Нікіта 2458 2454 2465
смт Ореанда 888 893 887
смт Паркове 483 495 498
смт Понизівка 378 382 387
смт Санаторне 498 494 496
смт Симеїз 3881 3950 3914
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
39
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Совєтське 574 579 577
смт Форос 1959 1978 1982
Сільське населення 1399 1419 1421
