"place","pop_2010","pop_2011","pop_2012","district","distrct"
"м. Київ","2785131","2799199","2814258","","м. Київ"
"Севастополь (міськрада)","380456","380821","381234","","Севастополь (міськрада)"
"м. Севастополь","340102","340297","340559","","Севастополь (міськрада)"
"м. Інкерман","11862","11884","11921","","Севастополь (міськрада)"
"смт Кача","5229","5174","5173","","Севастополь (міськрада)"
"Автономна Республіка Крим","1965305","1963514","1963008","","Автономна Республіка Крим"
"Сімферополь (міськрада)","360536","360615","360096","","Автономна Республіка Крим"
"м. Сімферополь","336588","336330","335582","","Автономна Республіка Крим"
"смт Аграрне","5747","5938","5986","","Автономна Республіка Крим"
"смт Аерофлотський","2228","2254","2296","","Автономна Республіка Крим"
"смт Гресівський","11064","11139","11214","","Автономна Республіка Крим"
"смт Комсомольське","4730","4787","4852","","Автономна Республіка Крим"
"Алушта (міськрада)","52472","52401","52284","","Автономна Республіка Крим"
"м. Алушта","29191","28919","28642","","Автономна Республіка Крим"
"смт Партеніт","6093","6061","6070","","Автономна Республіка Крим"
"Армянськ (міськрада)","25095","24996","24875","","Автономна Республіка Крим"
"м. Армянськ","22711","22592","22468","","Автономна Республіка Крим"
"м. Джанкой","37275","36860","36458","","Автономна Республіка Крим"
"Євпаторія (міськрада)","123147","123090","123344","","Автономна Республіка Крим"
"м. Євпаторія","106846","106698","106840","","Автономна Республіка Крим"
"смт Заозерне","4909","4940","4960","","Автономна Республіка Крим"
"смт Мирний","4211","4210","4203","","Автономна Республіка Крим"
"смт Новоозерне","7181","7242","7341","","Автономна Республіка Крим"
"м. Керч","147269","146516","145845","","Автономна Республіка Крим"
"м. Красноперекопськ","30201","30086","29944","","Автономна Республіка Крим"
"м. Саки","24580","24323","24038","","Автономна Республіка Крим"
"Судак (міськрада)","30044","30294","30514","","Автономна Республіка Крим"
"м. Судак","15171","15300","15368","","Автономна Республіка Крим"
"смт Новий Світ","1099","1095","1104","","Автономна Республіка Крим"
"Феодосія (міськрада)","105648","105408","105283","","Автономна Республіка Крим"
"м. Феодосія","70392","70043","69786","","Автономна Республіка Крим"
"смт Коктебель","2824","2844","2833","","Автономна Республіка Крим"
"смт Курортне","326","326","331","","Автономна Республіка Крим"
"смт Орджонікідзе","2709","2678","2669","","Автономна Республіка Крим"
"смт Приморський","14824","14860","14938","","Автономна Республіка Крим"
"смт Щебетовка","3422","3434","3498","","Автономна Республіка Крим"
"Ялта (міськрада)","141226","141304","141365","","Автономна Республіка Крим"
"м. Ялта","78334","78032","78040","","Автономна Республіка Крим"
"м. Алупка","8425","8493","8497","","Автономна Республіка Крим"
"смт Берегове","502","497","494","","Автономна Республіка Крим"
"смт Виноградне","1330","1357","1367","","Автономна Республіка Крим"
"смт Відрадне","651","659","673","","Автономна Республіка Крим"
"смт Восход","448","448","451","","Автономна Республіка Крим"
"смт Гаспра","11312","11313","11300","","Автономна Республіка Крим"
"смт Голуба затока","421","441","438","","Автономна Республіка Крим"
"смт Гурзуф","9108","9068","9056","","Автономна Республіка Крим"
"смт Кацівелі","617","609","617","","Автономна Республіка Крим"
"смт Кореїз","6225","6294","6290","","Автономна Республіка Крим"
"смт Краснокам'янка","1028","1024","1023","","Автономна Республіка Крим"
"смт Курпати","412","411","417","","Автономна Республіка Крим"
"смт Лівадія","1566","1601","1638","","Автономна Республіка Крим"
"смт Масандра","8329","8413","8437","","Автономна Республіка Крим"
"смт Нікіта","2458","2454","2465","","Автономна Республіка Крим"
"смт Ореанда","888","893","887","","Автономна Республіка Крим"
"смт Паркове","483","495","498","","Автономна Республіка Крим"
"смт Понизівка","378","382","387","","Автономна Республіка Крим"
"смт Санаторне","498","494","496","","Автономна Республіка Крим"
"смт Симеїз","3881","3950","3914","","Автономна Республіка Крим"
"смт Совєтське","574","579","577","","Автономна Республіка Крим"
"смт Форос","1959","1978","1982","","Автономна Республіка Крим"
"Бахчисарайський район","90113","90339","90754","","Автономна Республіка Крим"
"м. Бахчисарай","26144","26215","26363","","Автономна Республіка Крим"
"смт Куйбишеве","2371","2368","2391","","Автономна Республіка Крим"
"смт Научний","810","821","807","","Автономна Республіка Крим"
"смт Поштове","3124","3147","3157","","Автономна Республіка Крим"
"Білогірський район","63943","63949","64081","","Автономна Республіка Крим"
"м. Білогірськ","18224","18208","18199","","Автономна Республіка Крим"
"смт Зуя","6994","7027","7085","","Автономна Республіка Крим"
"Джанкойський район","74923","74538","74426","","Автономна Республіка Крим"
"смт Азовське","3828","3811","3806","","Автономна Республіка Крим"
"смт Вільне","2015","2036","2063","","Автономна Республіка Крим"
"Кіровський район","53991","53844","53884","","Автономна Республіка Крим"
"м. Старий Крим","9492","9446","9485","","Автономна Республіка Крим"
"смт Кіровське","7048","7024","7064","","Автономна Республіка Крим"
"Красногвардійський район","90711","90722","90907","","Автономна Республіка Крим"
"смт Красногвардійське","10708","10714","10742","","Автономна Республіка Крим"
"смт Октябрське","11426","11489","11471","","Автономна Республіка Крим"
"Красноперекопський район","29809","29634","29615","","Автономна Республіка Крим"
"Ленінський район","63565","63486","63256","","Автономна Республіка Крим"
"м. Щолкіне","11242","11231","11194","","Автономна Республіка Крим"
"смт Леніне","7926","7936","7910","","Автономна Республіка Крим"
"смт Багерове","3956","3962","3919","","Автономна Республіка Крим"
"Нижньогірський район","51233","50935","50764","","Автономна Республіка Крим"
"смт Нижньогірський","9642","9564","9505","","Автономна Республіка Крим"
"Первомайський район","36014","35790","35651","","Автономна Республіка Крим"
"смт Первомайське","9060","9019","9008","","Автономна Республіка Крим"
"Роздольненський район","34528","34364","34422","","Автономна Республіка Крим"
"смт Роздольне","7312","7300","7326","","Автономна Республіка Крим"
"смт Новоселівське","3327","3362","3381","","Автономна Республіка Крим"
"Сакський район","77456","77665","77831","","Автономна Республіка Крим"
"смт Новофедорівка","6433","6493","6557","","Автономна Республіка Крим"
"Сімферопольський район","155338","156210","157170","","Автономна Республіка Крим"
"смт Гвардійське","12685","12620","12660","","Автономна Республіка Крим"
"смт Молодіжне","7094","7151","7174","","Автономна Республіка Крим"
"смт Миколаївка","2720","2723","2735","","Автономна Республіка Крим"
"Совєтський район","34295","34241","34230","","Автономна Республіка Крим"
"смт Совєтський","9887","9947","9957","","Автономна Республіка Крим"
"Чорноморський район","31893","31904","31971","","Автономна Республіка Крим"
"смт Чорноморське","10983","10991","11039","","Автономна Республіка Крим"
"Вінницька область","1650608","1641201","1634187","","Вінницька область"
"м. Вінниця","369214","369490","370814","","Вінницька область"
"м. Жмеринка","35530","35431","35452","","Вінницька область"
"Козятин (міськрада)","25465","25322","25313","","Вінницька область"
"м. Козятин","24461","24324","24319","","Вінницька область"
"смт Залізничне","1004","998","994","","Вінницька область"
"Ладижин (міськрада)","23750","23896","24122","","Вінницька область"
"м. Ладижин","22497","22632","22849","","Вінницька область"
"Могилів-Подільський (міськрада)","32604","32463","32449","","Вінницька область"
"м. Могилів-Подільський","32410","32266","32250","","Вінницька область"
"м. Хмільник","28076","28136","28230","","Вінницька область"
"Барський район","54938","54554","54268","","Вінницька область"
"м. Бар","16393","16471","16461","","Вінницька область"
"смт Копайгород","1312","1323","1316","","Вінницька область"
"Бершадський район","63604","62899","62109","","Вінницька область"
"м. Бершадь","13239","13223","13162","","Вінницька область"
"Вінницький район","76256","76605","77064","","Вінницька область"
"смт Вороновиця","6442","6466","6522","","Вінницька область"
"смт Десна","1301","1318","1331","","Вінницька область"
"смт Стрижавка","8825","8869","8936","","Вінницька область"
"Гайсинський район","59828","59306","58843","","Вінницька область"
"м. Гайсин","25760","25711","25727","","Вінницька область"
"Жмеринський район","36690","36327","35960","","Вінницька область"
"смт Браїлів","4663","4691","4725","","Вінницька область"
"Іллінецький район","38953","38742","38490","","Вінницька область"
"м. Іллінці","11286","11339","11351","","Вінницька область"
"смт Дашів","4005","3989","3975","","Вінницька область"
"Калинівський район","60123","59884","59669","","Вінницька область"
"м. Калинівка","19311","19335","19284","","Вінницька область"
"Козятинський район","41944","41535","41274","","Вінницька область"
"смт Бродецьке","2321","2302","2300","","Вінницька область"
"смт Глухівці","3495","3463","3461","","Вінницька область"
"Крижопільський район","35780","35408","35114","","Вінницька область"
"смт Крижопіль","8973","9024","9015","","Вінницька область"
"Липовецький район","40336","40002","39603","","Вінницька область"
"м. Липовець","8976","8919","8870","","Вінницька область"
"смт Турбів","6592","6558","6553","","Вінницька область"
"Літинський район","37632","37198","36894","","Вінницька область"
"смт Літин","6797","6751","6760","","Вінницька область"
"Могилів-Подільський район","35114","34761","34443","","Вінницька область"
"смт Вендичани","3970","3970","3939","","Вінницька область"
"Мурованокуриловецький район","27973","27524","27111","","Вінницька область"
"смт Муровані Курилівці","6079","6113","6114","","Вінницька область"
"Немирівський район","52764","52242","51753","","Вінницька область"
"м. Немирів","11759","11826","11925","","Вінницька область"
"смт Брацлав","5631","5643","5631","","Вінницька область"
"смт Ситківці","2433","2398","2370","","Вінницька область"
"Оратівський район","23336","22982","22728","","Вінницька область"
"смт Оратів","2926","2913","2919","","Вінницька область"
"Піщанський район","22274","22107","21877","","Вінницька область"
"смт Піщанка","5390","5387","5336","","Вінницька область"
"смт Рудниця","1163","1175","1187","","Вінницька область"
"Погребищенський район","32805","32437","32003","","Вінницька область"
"м. Погребище","10080","10013","9970","","Вінницька область"
"Теплицький район","30872","30527","30120","","Вінницька область"
"смт Теплик","6578","6544","6460","","Вінницька область"
"Тиврівський район","44107","43904","43719","","Вінницька область"
"м. Гнівань","12589","12592","12546","","Вінницька область"
"смт Тиврів","4267","4261","4263","","Вінницька область"
"смт Сутиски","6206","6207","6190","","Вінницька область"
"Томашпільський район","35622","35233","34943","","Вінницька область"
"смт Томашпіль","5612","5557","5535","","Вінницька область"
"смт Вапнярка","7923","7891","7926","","Вінницька область"
"Тростянецький район","37902","37603","37232","","Вінницька область"
"смт Тростянець","7915","7850","7828","","Вінницька область"
"Тульчинський район","58621","58094","57683","","Вінницька область"
"м. Тульчин","15640","15631","15920","","Вінницька область"
"смт Кирнасівка","5358","5334","5309","","Вінницька область"
"смт Шпиків","3389","3363","3375","","Вінницька область"
"Хмільницький район","39171","38861","38433","","Вінницька область"
"Чернівецький район","23729","23338","23008","","Вінницька область"
"смт Чернівці","2935","2935","2923","","Вінницька область"
"Чечельницький район","23233","22880","22642","","Вінницька область"
"смт Чечельник","5199","5187","5187","","Вінницька область"
"Шаргородський район","59683","59268","58914","","Вінницька область"
"м. Шаргород","6982","6949","6960","","Вінницька область"
"Ямпільський район","42679","42242","41910","","Вінницька область"
"м. Ямпіль","11317","11302","11316","","Вінницька область"
"Волинська область","1036665","1037149","1038598","","Волинська область"
"м. Луцьк","210775","211783","213063","","Волинська область"
"м. Володимир-Волинський","38768","38767","38783","","Волинська область"
"м. Ковель","67911","68171","68648","","Волинська область"
"Нововолинськ (міськрада)","57691","57831","57944","","Волинська область"
"м. Нововолинськ","52905","53052","53179","","Волинська область"
"смт Жовтневе","4786","4779","4765","","Волинська область"
"Володимир-Волинський район","25795","25670","25692","","Волинська область"
"м. Устилуг","2195","2205","2204","","Волинська область"
"Горохівський район","53975","53668","53129","","Волинська область"
"м. Горохів","9178","9186","9119","","Волинська область"
"м. Берестечко","1803","1796","1734","","Волинська область"
"смт Мар'янівка","2812","2789","2803","","Волинська область"
"смт Сенкевичівка","1362","1347","1316","","Волинська область"
"Іваничівський район","33273","32993","32724","","Волинська область"
"смт Іваничі","6785","6784","6795","","Волинська область"
"Камінь-Каширський район","62263","62494","62864","","Волинська область"
"м. Камінь-Каширський","11661","11756","11905","","Волинська область"
"Ківерцівський район","64147","63968","63927","","Волинська область"
"м. Ківерці","15030","14916","14743","","Волинська область"
"смт Олика","3141","3127","3137","","Волинська область"
"смт Цумань","6171","6235","6273","","Волинська область"
"Ковельський район","40758","40675","40498","","Волинська область"
"смт Голоби","4176","4131","4099","","Волинська область"
"смт Люблинець","4427","4477","4474","","Волинська область"
"Локачинський район","23185","23026","22924","","Волинська область"
"смт Локачі","3970","3941","3941","","Волинська область"
"Луцький район","59769","60422","61006","","Волинська область"
"смт Рокині","1493","1511","1527","","Волинська область"
"смт Торчин","4476","4474","4497","","Волинська область"
"Любешівський район","35697","35812","35961","","Волинська область"
"смт Любешів","5591","5627","5688","","Волинська область"
"Любомльський район","40051","39855","39808","","Волинська область"
"м. Любомль","10114","10129","10178","","Волинська область"
"смт Головне","3081","3055","3036","","Волинська область"
"Маневицький район","55368","55272","55235","","Волинська область"
"смт Маневичі","10410","10489","10561","","Волинська область"
"смт Колки","4021","4035","4040","","Волинська область"
"Ратнівський район","51546","51651","51753","","Волинська область"
"смт Ратне","9425","9483","9608","","Волинська область"
"смт Заболоття","4283","4299","4301","","Волинська область"
"Рожищенський район","40587","40475","40251","","Волинська область"
"м. Рожище","13441","13441","13381","","Волинська область"
"смт Дубище","1874","1897","1911","","Волинська область"
"Старовижівський район","31164","30980","30874","","Волинська область"
"смт Стара Вижівка","5162","5161","5218","","Волинська область"
"Турійський район","26785","26552","26456","","Волинська область"
"смт Турійськ","5673","5697","5732","","Волинська область"
"смт Луків","3095","3088","3106","","Волинська область"
"Шацький район","17157","17084","17058","","Волинська область"
"смт Шацьк","5372","5370","5370","","Волинська область"
"Дніпропетровська область","3355481","3336504","3320299","","Дніпропетровська область"
"Дніпропетровськ (міськрада)","1013514","1007210","1001962","","Дніпропетровська область"
"м. Дніпропетровськ","1011177","1004853","999577","","Дніпропетровська область"
"смт Авіаторське","2337","2357","2385","","Дніпропетровська область"
"м. Вільногірськ","23776","23735","23748","","Дніпропетровська область"
"Дніпродзержинськ (міськрада)","251190","250115","249550","","Дніпропетровська область"
"м. Дніпродзержинськ","244272","243199","242646","","Дніпропетровська область"
"смт Карнаухівка","6596","6597","6588","","Дніпропетровська область"
"Жовті Води (міськрада)","49168","48772","48441","","Дніпропетровська область"
"м. Жовті Води","48427","48032","47689","","Дніпропетровська область"
"Кривий Ріг (міськрада)","673260","667874","662982","","Дніпропетровська область"
"м. Кривий Ріг","670397","665080","660203","","Дніпропетровська область"
"Марганець (міськрада)","49813","49697","49593","","Дніпропетровська область"
"м. Марганець","48869","48739","48635","","Дніпропетровська область"
"смт Мар'ївка","328","338","339","","Дніпропетровська область"
"м. Нікополь","123748","121784","120000","","Дніпропетровська область"
"м. Новомосковськ","70096","70354","70640","","Дніпропетровська область"
"Орджонікідзе (міськрада)","43815","43617","43371","","Дніпропетровська область"
"м. Орджонікідзе","42061","41894","41645","","Дніпропетровська область"
"смт Гірницьке","370","355","363","","Дніпропетровська область"
"смт Чортомлик","1384","1368","1363","","Дніпропетровська область"
"м. Павлоград","111069","110644","110470","","Дніпропетровська область"
"м. Першотравенськ","29122","29104","29085","","Дніпропетровська область"
"м. Синельникове","31553","31568","31553","","Дніпропетровська область"
"Тернівка (міськрада)","28986","28943","29000","","Дніпропетровська область"
"м. Тернівка","28965","28923","28981","","Дніпропетровська область"
"Апостолівський район","57989","57674","57447","","Дніпропетровська область"
"м. Апостолове","14584","14513","14480","","Дніпропетровська область"
"м. Зеленодольськ","14200","14134","14022","","Дніпропетровська область"
"Васильківський район","34106","33915","33684","","Дніпропетровська область"
"смт Васильківка","11878","11885","11905","","Дніпропетровська область"
"смт Письменне","1279","1276","1281","","Дніпропетровська область"
"смт Чаплине","3923","3928","3902","","Дніпропетровська область"
"Верхньодніпровський район","54616","54464","54267","","Дніпропетровська область"
"м. Верхньодніпровськ","16943","16971","16930","","Дніпропетровська область"
"м. Верхівцеве","10083","10086","10073","","Дніпропетровська область"
"смт Дніпровське","5718","5696","5679","","Дніпропетровська область"
"смт Новомиколаївка","4117","4138","4183","","Дніпропетровська область"
"Дніпропетровський район","82764","83396","83900","","Дніпропетровська область"
"м. Підгородне","19148","19322","19397","","Дніпропетровська область"
"смт Кіровське","9138","9136","9234","","Дніпропетровська область"
"смт Ювілейне","12220","12511","12696","","Дніпропетровська область"
"Криворізький район","44551","44736","44913","","Дніпропетровська область"
"смт Радушне","3745","3765","3789","","Дніпропетровська область"
"смт Христофорівка","1469","1459","1453","","Дніпропетровська область"
"Криничанський район","36757","36576","36350","","Дніпропетровська область"
"смт Кринички","4391","4378","4340","","Дніпропетровська область"
"смт Аули","4211","4204","4197","","Дніпропетровська область"
"смт Щорськ","2815","2791","2799","","Дніпропетровська область"
"Магдалинівський район","35297","35087","34889","","Дніпропетровська область"
"смт Магдалинівка","6541","6471","6510","","Дніпропетровська область"
"Межівський район","25367","25127","24865","","Дніпропетровська область"
"смт Межова","7537","7529","7537","","Дніпропетровська область"
"смт Демурине","1160","1151","1153","","Дніпропетровська область"
"Нікопольський район","42756","42643","42555","","Дніпропетровська область"
"смт Червоногригорівка","6689","6705","6701","","Дніпропетровська область"
