"place","pop_2012","pop_2013","pop_2014","district"
"м. Київ",2814258,2845023,2868702,"м. Київ"
"м.Севастополь",340559,342580,344853,"м. Київ"
"м. Інкерман",11921,11985,12028,"м. Київ"
"смт Кача",5173,5137,5137,"м. Київ"
"Автономна Республіка Крим",1963008,1965177,1967259,"Автономна Республіка Крим"
"м. Сімферополь",335582,337285,338319,"Автономна Республіка Крим"
"смт Аграрне",5986,6034,6093,"Автономна Республіка Крим"
"смт Аерофлотський",2296,2325,2359,"Автономна Республіка Крим"
"смт Гресівський",11214,11391,11509,"Автономна Республіка Крим"
"смт Комсомольське",4852,4869,4892,"Автономна Республіка Крим"
"м. Алушта",28642,28418,28295,"Автономна Республіка Крим"
"смт Партеніт",6070,6089,6086,"Автономна Республіка Крим"
"м. Армянськ",22468,22337,22286,"Автономна Республіка Крим"
"м. Джанкой",36458,36086,35693,"Автономна Республіка Крим"
"м. Євпаторія",106840,106877,107040,"Автономна Республіка Крим"
"смт Заозерне",4960,4996,5023,"Автономна Республіка Крим"
"смт Мирний",4203,4209,4210,"Автономна Республіка Крим"
"смт Новоозерне",7341,7383,7393,"Автономна Республіка Крим"
"м. Керч",145845,145265,144626,"Автономна Республіка Крим"
"м. Красноперекопськ",29944,29815,29672,"Автономна Республіка Крим"
"м. Саки",24038,23655,23391,"Автономна Республіка Крим"
"м. Судак",15368,15457,15532,"Автономна Республіка Крим"
"смт Новий Світ",1104,1100,1117,"Автономна Республіка Крим"
"м. Феодосія",69786,69461,69040,"Автономна Республіка Крим"
"смт Коктебель",2833,2863,2869,"Автономна Республіка Крим"
"смт Курортне",331,340,337,"Автономна Республіка Крим"
"смт Орджонікідзе",2669,2643,2650,"Автономна Республіка Крим"
"смт Приморський",14938,14938,14975,"Автономна Республіка Крим"
"смт Щебетовка",3498,3504,3601,"Автономна Республіка Крим"
"м. Ялта",78040,78115,78200,"Автономна Республіка Крим"
"м. Алупка",8497,8520,8528,"Автономна Республіка Крим"
"смт Берегове",494,487,489,"Автономна Республіка Крим"
"смт Виноградне",1367,1377,1406,"Автономна Республіка Крим"
"смт Відрадне",673,680,694,"Автономна Республіка Крим"
"смт Восход",451,452,456,"Автономна Республіка Крим"
"смт Гаспра",11300,11384,11384,"Автономна Республіка Крим"
"смт Голуба затока",438,448,443,"Автономна Республіка Крим"
"смт Гурзуф",9056,9117,9152,"Автономна Республіка Крим"
"смт Кацівелі",617,622,625,"Автономна Республіка Крим"
"смт Кореїз",6290,6304,6337,"Автономна Республіка Крим"
"смт Краснокам'янка",1023,1014,1021,"Автономна Республіка Крим"
"смт Курпати",417,417,415,"Автономна Республіка Крим"
"смт Лівадія",1638,1634,1636,"Автономна Республіка Крим"
"смт Масандра",8437,8571,8623,"Автономна Республіка Крим"
"смт Нікіта",2465,2466,2475,"Автономна Республіка Крим"
"смт Ореанда",887,902,921,"Автономна Республіка Крим"
"смт Паркове",498,490,500,"Автономна Республіка Крим"
"смт Понизівка",387,380,384,"Автономна Республіка Крим"
"смт Санаторне",496,490,490,"Автономна Республіка Крим"
"смт Симеїз",3914,3901,3919,"Автономна Республіка Крим"
"смт Совєтське",577,575,579,"Автономна Республіка Крим"
"смт Форос",1982,1994,1996,"Автономна Республіка Крим"
"Бахчисарайський район",90754,91054,91571,"Автономна Республіка Крим"
"м. Бахчисарай",26363,26482,26651,"Автономна Республіка Крим"
"смт Куйбишеве",2391,2407,2441,"Автономна Республіка Крим"
"смт Научний",807,783,780,"Автономна Республіка Крим"
"смт Поштове",3157,3194,3214,"Автономна Республіка Крим"
"Білогірський район",64081,64166,64413,"Автономна Республіка Крим"
"м. Білогірськ",18199,18220,18252,"Автономна Республіка Крим"
"смт Зуя",7085,7085,7156,"Автономна Республіка Крим"
"Джанкойський район",74426,74131,74020,"Автономна Республіка Крим"
"смт Азовське",3806,3798,3813,"Автономна Республіка Крим"
"смт Вільне",2063,2055,2059,"Автономна Республіка Крим"
"Кіровський район",53884,53961,53872,"Автономна Республіка Крим"
"м. Старий Крим",9485,9512,9478,"Автономна Республіка Крим"
"смт Кіровське",7064,7067,7069,"Автономна Республіка Крим"
"Красногвардійський район",90907,91120,91269,"Автономна Республіка Крим"
"смт Красногвардійське",10742,10766,10779,"Автономна Республіка Крим"
