deputat,perc_for,votes_for,tvo,oblast,year,info,proposed,registration,gender,age,birthday,job,city_living,party,tvo_pres,pres_candidate,pres_perc_for,pres_votes_for,winner,average_age,pop_change,region_ideology,previous,ever,funding,power_status,party_ideology,prop_election_forecast
Бевз Світлана Володимирівна,NA,NA,11,Вінницька область,2019,"народилася 4 листопада 1973 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри електричних станцій та систем, Вінницький національний технічний університет, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,20.06.2019,F,46,4.11.1973,доцент кафедри електричних станцій та систем,проживає в місті Вінниці,безпартійний,11,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Гижко Андрій Петрович,NA,NA,11,Вінницька область,2019,"народився 27 червня 1978 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в селі Березино Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,24.06.2019,M,41,27.6.1978,перший заступник голови,проживає в селі Березино Вінницького району Вінницької області,політична партія європейська солідарність,11,Порошенко Петро,28.3893832648263,33083,NA,41.1,-4.7,grey,0,0,0,no,orange,8.3
Горлачов Ігор Ярославович,NA,NA,11,Вінницька область,2019,"народився 31 березня 1984 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",політична партія опозиційна платформа  за життя,24.06.2019,M,35,31.3.1984,тимчасово не працює,проживає в місті Вінниці,політична партія опозиційна платформа  за життя,11,Бойко Юрій,5.20882496803481,6070,NA,41.1,-4.7,grey,0,0,0,no,blue,12
Давиденко Ганна Віталіївна,NA,NA,11,Вінницька область,2019,"народилася 24 травня 1983 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, проректор з наукової та міжнародної діяльності, ВНЗ ""Відкритий міжнародний університет розвитку людини ""Україна"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, самовисування.",самовисування,24.06.2019,F,36,24.5.1983,проректор з наукової та міжнародної діяльності,проживає в місті Вінниці,політична партія всеукраїнське обєднання батьківщина,11,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Кістіон Володимир Євсевійович,NA,NA,11,Вінницька область,2019,"народився 31 травня 1965 року в селі Довжок Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Віце-прем’єр-міністр України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",самовисування,12.06.2019,M,54,31.5.1965,Віце-прем’єр-міністр України,проживає в місті Києві,безпартійний,11,NA,0,0,NA,41.1,-4.7,grey,0,0,0,no,grey,NA
Ковальов Андрій Євгенійович,NA,NA,11,Вінницька область,2019,"народився 24 сiчня 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник генерального директора, АТ ""Вінницяобленерго"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",політична партія сила і честь,25.06.2019,M,42,24.1.1977,радник генерального директора,проживає в місті Вінниці,безпартійний,11,Смешко Ігор,13.5257823964027,15762,NA,41.1,-4.7,grey,0,0,0,no,orange,3.9
Кудлаєнко Сергій Володимирович,NA,NA,11,Вінницька область,2019,"народився 13 жовтня 1975 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри менеджменту та адміністрування, Вінницький торговельно-економічний інститут Київського національного торговельно-економічного університету, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",самовисування,24.06.2019,M,44,13.10.1975,доцент кафедри менеджменту та адміністрування,проживає в селі Агрономічне Вінницького району Вінницької області,безпартійний,11,NA,0,0,NA,41.1,-4.7,grey,1,1,0,no,grey,NA
Лепей Олена Володимирівна,NA,NA,11,Вінницька область,2019,"народилася 3 жовтня 1977 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач, Вінницьке відділення навчально-наукового інституту заочного та дистанційного навчання НАВС, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",політична партія опозиційний блок,25.06.2019,F,42,3.10.1977,завідувач,проживає в місті Вінниці,безпартійний,11,Вілкул Олександр,2.05349557636034,2393,NA,41.1,-4.7,grey,0,0,0,no,blue,NA
Пашковський Максим Ігорович,NA,NA,11,Вінницька область,2019,"народився 24 березня 1983 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Панчер Солюшнс"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,25.06.2019,M,36,24.3.1983,директор,проживає в місті Вінниці,безпартійний,11,Зеленський Володимир,22.6528107917929,26398,NA,41.1,-4.7,grey,0,0,0,yes,orange,45.5
Приходько Анастасія Костянтинівна,NA,NA,11,Вінницька область,2019,"народилася 21 квiтня 1987 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в селі Крюківщина Києво-Святошинського району Київської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",політична партія всеукраїнське обєднання батьківщина,24.06.2019,F,32,21.4.1987,тимчасово не працює,проживає в селі Крюківщина Києво-Святошинського району Київської області,безпартійний,11,Тимошенко Юлія,12.7097045472098,14811,NA,41.1,-4.7,grey,0,0,0,no,orange,7.2
