Last,Party
Богословська,позапартійний
Бродський,Партія вільних демократів
Гриценко,позапартійний
Костенко,Українська Народна Партія
Литвин,Народна Партія
Мороз,Соціалістична партія України
Пабат,позапартійний
Противсіх,позапартійний
Ратушняк,позапартійний
Рябоконь,позапартійний
Симоненко,Комуністична партія України
Супрун,Народно-демократична партія
Тимошенко,"політична партія Всеукраїнське об’єднання ""Батьківщина"""
Тігіпко,позапартійний
Тягнибок,"політична партія Всеукраїнське об’єднання ""Свобода"""
Ющенко,політична партія "Наша Україна"
Янукович,Партія регіонів
Яценюк,позапартійний
