pres,partia
Зеленський Володимир Олександрович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"""
Порошенко Петро Олексійович,"Політична партія ""Європейська Солідарність"""
Балашов Геннадій Вікторович,"Політична Партія ""5.10"""
Безсмертний Роман Петрович,NA
Богомолець Ольга Вадимівна,NA
Богословська Інна Германівна,NA
Бойко Юрій Анатолійович,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"""
Бондар Віктор Васильович,"Партія ""Відродження"""
Ващенко Олександр Михайлович,NA
Вілкул Олександр Юрійович,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"""
Габер Микола Олександрович,Патріотична партія України 
Гриценко Анатолій Степанович,"політична партія ""Громадянська позиція"""
Данилюк Олександр Володимирович,NA
Дерев’янко Юрій Богданович,"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ"""
Журавльов Василь Миколайович,"Політична партія ""СТАБІЛЬНІСТЬ"""
Каплін Сергій Миколайович,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛ-ДЕМОКРАТИЧНА ПАРТІЯ"""
Кармазін Юрій Анатолійович,NA
Кива Ілля Володимирович,СОЦІАЛІСТИЧНА ПАРТІЯ УКРАЇНИ
Корнацький Аркадій Олексійович,NA
Кошулинський Руслан Володимирович,"політична партія Всеукраїнське об’єднання ""Свобода"""
Кривенко Віктор Миколайович,"Політична партія ""Народний Рух України"""
Купрій Віталій Миколайович,NA
Литвиненко Юлія Леонідівна,NA
Ляшко Олег Валерійович,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"""
Мороз Олександр Олександрович,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА"""
Наливайченко Валентин Олександрович,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКО-ПОЛІТИЧНИЙ РУХ ВАЛЕНТИНА НАЛИВАЙЧЕНКА ""СПРАВЕДЛИВІСТЬ"""
Насіров Роман Михайлович,NA
Новак Андрій Яремович,"Політична партія ""ПАТРІОТ"""
Носенко Сергій Михайлович,NA
Петров Володимир Володимирович,NA
Ригованов Руслан Олександрович,NA
Скоцик Віталій Євстафійович,NA
Смешко Ігор Петрович,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"""
Соловйов Олександр Миколайович,"Політична партія ""РОЗУМНА СИЛА"""
Тарута Сергій Олексійович,"ПОЛІТИЧНА ПАРТІЯ ""ОСНОВА"""
Тимошенко Юлія Володимирівна,"політична партія Всеукраїнське об’єднання ""Батьківщина"""
Тимошенко Юрій Володимирович,NA
Шевченко Ігор Анатолійович,NA
Шевченко Олександр Леонідович,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
