"tvo","1. Кількість виборців","2. Взяли участь","3. Недійсних бюлетенів","Богословська","Бродський","Гриценко","Костенко","Литвин","Мороз","Пабат","Противсіх","Ратушняк","Рябоконь","Симоненко","Супрун","Тимошенко","Тігіпко","Тягнибок","Ющенко","Янукович","Яценюк","4. Не підтр. жодного"
"1",165281,107400,1616,1687,52,592,59,1175,99,228,96,51,23,4663,87,11592,16115,324,1166,62456,2656,2663
"2",124737,80568,1782,1351,23,525,32,934,98,173,72,44,13,3775,36,7028,12895,236,862,46879,2014,1796
"3",161020,101485,1775,1143,95,225,63,1319,122,174,119,72,15,3228,93,13072,7617,226,1514,66455,2852,1306
"4",177972,111746,1480,1022,46,731,42,1304,89,275,79,38,28,4234,315,12651,11761,333,1206,71258,2974,1880
"5",168056,107869,1391,1311,37,536,40,1057,77,549,72,56,16,4146,69,8472,10431,236,847,74455,2432,1639
"6",152982,95196,1521,1314,44,603,28,972,68,221,82,30,34,5630,57,11634,9255,189,1080,58607,2351,1476
"7",151888,90979,1883,2405,33,515,50,1796,126,311,97,60,28,4930,76,8870,13813,340,1100,49458,2717,2371
"8",114549,73108,1453,992,49,114,38,754,81,220,77,35,18,3020,69,12356,5202,162,1392,44507,1736,833
"9",143666,94021,1575,864,46,232,81,1686,90,919,107,49,42,4730,195,11481,9031,244,1314,57091,2643,1601
"10",191021,119550,2115,1238,51,288,66,1131,75,355,86,40,27,5850,97,20327,11672,238,1941,69165,2774,2014
"11",196428,131631,2128,333,52,3162,266,2123,532,154,207,130,121,4160,176,54925,22278,2733,3534,16792,13505,4320
"12",152632,104203,1622,245,66,2633,208,1978,333,112,219,65,64,2672,201,48252,15060,1710,2347,12729,10629,3058
"13",157006,110289,2389,206,92,1037,420,2741,844,107,329,129,45,2907,211,59673,9368,1190,2949,15037,8306,2309
"14",163536,112200,1921,210,94,1090,517,2826,870,128,339,112,292,5050,227,48962,11089,1682,3251,20521,10687,2332
"15",154542,111609,1874,320,113,1135,775,2979,764,109,347,157,60,3994,220,59058,8473,1072,3301,15151,9623,2084
"16",166826,117282,1912,239,97,1146,711,3628,960,119,400,135,65,3037,233,57204,12599,1160,3899,17745,9707,2286
"17",159673,110501,1911,248,77,933,539,2636,738,105,305,144,51,2799,192,48565,12695,881,3369,17685,14517,2111
"18",161495,102019,1879,239,148,598,498,4524,782,104,311,119,62,3525,610,45417,9270,973,3043,19448,8384,2085
"19",147892,108466,1591,151,67,1407,547,3493,569,64,184,84,46,1939,584,59673,10529,3863,4716,10695,6250,2014
"20",157409,123195,1626,144,108,799,671,6530,649,95,288,97,33,1692,1683,69483,10672,3980,5988,10539,6511,1607
"21",159351,115892,1968,167,70,897,672,6166,994,128,355,93,68,2327,1050,58985,11009,3317,4793,14399,6107,2327
"22",159667,114181,1996,119,33,2181,190,2529,265,79,124,60,27,2054,239,55316,18130,5560,4948,9566,8256,2508
"23",162412,124834,1721,163,120,549,1064,6368,649,95,327,131,74,5700,623,72048,9207,2752,6036,11121,4618,1468
"24",130380,86303,1616,267,25,1588,69,937,88,89,88,60,25,2610,78,9563,29472,642,973,30696,5540,1879
