"District","9.К-сть виборців, які взяли участь у голосуванні","Богомолець","Бойко","Гриненко","Гриценко","Добкін","Клименко","Коновалюк","Кузьмін","Куйбіда","Ляшко","Маломуж","Порошенко","Рабінович","Саранов","Симоненко","Тимошенко","Тігіпко","Тягнибок","Цушко","Шкіряк","Ярош"
11,139758,1742,89,351,6628,625,17,199,83,39,5363,125,103411,1355,17,898,13149,2370,1328,31,11,855
12,110554,1089,79,332,4662,425,23,146,47,30,4191,84,82494,843,12,581,11576,1530,971,22,10,540
13,109865,863,85,240,3386,298,41,90,33,52,5708,101,74747,815,21,612,18914,1642,966,21,19,347
14,107688,889,130,314,3321,559,36,105,44,50,6309,104,72957,928,21,909,16810,1946,911,24,13,356
15,107629,948,86,494,5401,525,40,54,35,39,6762,134,67464,725,15,653,20432,1734,863,21,26,288
16,114102,935,127,340,4394,438,59,94,29,64,7082,130,73921,847,24,619,20862,1687,1170,23,16,313
17,106223,1084,107,411,4988,623,28,92,31,73,7529,115,65798,997,21,678,19757,1926,688,23,22,304
18,99400,936,81,396,4066,715,58,90,34,58,6754,115,61886,1186,25,797,17906,2257,697,31,21,326
19,107287,2000,60,596,7391,418,38,75,35,58,15373,85,54936,742,12,478,19980,1568,2080,23,25,552
20,122959,2196,106,538,6305,545,56,103,45,101,18058,153,65713,460,17,432,22178,2007,2489,23,49,605
21,111526,2024,99,577,7042,701,87,174,49,121,16713,115,57356,832,24,611,18559,2621,2120,37,18,504
22,120117,2818,85,549,9340,399,19,209,38,51,15676,69,70065,769,13,580,13377,2355,1866,26,13,994
23,119907,2197,138,485,5734,486,93,105,47,86,18888,153,56861,503,23,638,26698,2506,2635,34,30,527
24,68521,1924,323,295,4602,2354,58,826,146,48,3320,94,31450,4015,48,1836,5323,8905,654,39,31,803
25,91928,2631,388,362,5958,3407,82,1189,208,73,4496,170,40118,5647,51,2766,7536,12807,737,58,34,1096
26,71674,2072,374,236,4181,2066,56,690,192,57,3725,123,35464,3157,41,1729,5171,9002,675,46,24,1171
27,63185,1744,207,281,4340,2014,35,614,130,53,2636,81,30121,3429,37,1644,4881,8248,536,51,20,850
28,79730,2267,315,319,5487,2574,58,737,173,55,3490,135,37180,4233,55,2014,7676,9344,694,48,18,1151
29,72448,1947,334,341,4931,2545,56,804,167,52,3743,96,32546,4367,51,1832,6132,8989,603,53,33,1107
30,100911,2511,381,505,7052,4630,85,1018,231,97,5200,172,44830,6425,55,3066,10772,8247,902,67,42,2136
31,103248,2774,353,459,5366,4933,87,1344,211,75,7995,167,47655,4536,66,3346,11281,8228,953,68,45,1102
32,108685,2790,308,443,5506,4920,81,1559,206,78,8727,229,52762,4792,64,3414,8897,9494,935,56,48,1080
33,94397,2567,319,411,4875,4809,90,1221,191,68,7603,189,43762,4458,53,3481,8028,8274,735,72,36,992
34,75589,2436,320,383,4199,3882,96,793,212,72,5604,120,33529,3782,60,2427,8420,6375,658,49,39,751
35,94020,2496,241,491,5749,3498,77,796,155,44,5881,141,42040,4151,54,2797,13519,8214,711,46,33,753
36,111435,2578,688,590,6570,10786,148,1811,236,76,4669,185,41847,7311,83,4385,9884,15087,701,72,66,930
37,82694,2313,340,515,4818,5179,95,966,192,81,7711,153,35302,3360,55,3485,8362,6446,658,51,44,610
38,95837,2507,402,701,7229,5195,102,790,194,115,7247,210,41269,4264,61,3729,7099,10662,953,57,80,841
39,71385,1699,300,541,5212,3835,100,595,179,61,4435,105,29960,3826,47,2962,7033,7801,386,56,49,443
40,79452,2067,348,560,5713,2889,81,525,200,75,5678,146,35506,3754,37,2333,8212,8221,663,59,34,670
47,4807,135,36,13,99,382,10,103,14,41,196,69,1497,322,5,256,357,989,45,4,49,17
49,19409,565,132,104,893,1536,81,321,33,70,597,88,6489,989,15,755,1555,4188,139,6,37,140
50,12166,338,55,66,497,1027,25,203,21,34,279,36,4367,482,6,604,1367,2061,68,0,9,94
58,22369,626,199,102,872,1596,62,592,54,20,712,41,7759,1493,15,986,1300,4434,170,14,13,214
59,24705,600,170,91,997,1398,49,488,46,31,810,59,10205,1510,13,1028,1284,4759,199,14,5,286
60,6768,159,20,28,371,280,14,41,17,26,159,16,2989,220,1,159,894,1097,42,5,9,26
61,17685,396,141,92,833,1065,50,533,31,45,425,104,5687,1105,19,906,1456,3622,116,15,48,98
62,7914,203,50,25,263,615,22,119,17,43,187,24,2887,290,2,342,639,1627,36,10,17,47
63,142251,2708,148,535,8828,929,23,370,106,77,9900,132,91202,2416,31,1538,14013,5004,1478,52,14,1109
64,112668,1601,116,381,4165,638,48,183,61,92,9940,142,69387,1390,29,1258,17046,3354,1210,20,26,442
65,101590,2155,194,433,4275,995,74,227,87,126,12327,185,48159,2139,66,2009,19220,5466,1389,46,41,550
66,102008,1848,175,478,4704,545,114,176,54,78,11768,132,54873,1324,25,1252,18279,3649,968,34,24,447
67,103588,1511,122,306,3551,449,74,157,52,63,10661,156,62586,901,40,1184,15667,3374,1202,25,30,493
68,97230,1195,103,315,3631,466,29,156,46,80,8342,132,60440,843,23,767,15242,2617,1357,33,17,335
69,97098,2231,274,578,7142,1787,62,255,85,82,7576,143,55325,1793,25,568,12729,2817,1175,32,38,919
70,77356,1193,107,304,2955,712,56,180,66,34,5321,128,47576,1581,31,521,11551,2735,556,26,20,398
71,86221,965,166,428,3184,2787,76,104,43,80,7333,162,49953,905,27,418,14173,2432,1167,33,43,466
72,82490,1026,200,323,2615,1269,53,113,49,50,6268,130,53477,1413,23,425,8972,2968,1322,26,25,423
73,76499,777,97,228,1658,1105,52,115,30,67,5647,121,50760,756,18,469,9041,2627,1292,24,17,289
74,66609,940,242,354,2028,2414,100,106,55,55,3891,192,44526,978,51,345,6142,1730,638,51,40,279
75,88385,2739,265,419,6635,3751,70,1323,225,64,4069,150,36726,5910,46,2789,8636,10938,697,41,43,854
76,90600,2843,292,536,7356,3549,58,1103,227,77,4581,144,37163,6434,65,2727,9737,9844,761,54,47,901
77,95726,3130,257,497,7334,3879,83,1197,248,82,4669,160,40390,6239,74,2709,9646,11105,787,49,51,1007
78,63919,1782,203,334,4762,3062,58,1017,166,55,2898,122,25467,4567,48,2094,5581,9063,474,34,27,577
79,79400,1955,316,355,3927,5828,90,1017,200,82,3655,157,30475,5772,63,3953,6354,12152,554,45,33,460
80,85387,2513,434,496,4118,6963,113,1123,263,83,4128,163,28567,5831,87,4740,8161,13751,596,49,57,555
81,66367,2081,242,295,3194,5876,70,930,174,36,2189,90,23872,5626,42,3044,4189,11410,438,46,29,387
82,80510,2464,312,394,3750,6734,99,767,244,143,4029,183,25082,5989,72,5223,8063,13466,613,57,48,397
83,85470,2466,324,491,4752,4399,104,832,223,108,5978,165,32992,4958,69,3282,11230,9400,543,53,64,504
84,128962,2816,62,379,7700,348,19,120,51,56,9657,85,87982,719,7,512,13155,1652,1732,18,11,1139
85,114558,1509,49,338,3697,57,37,22,13,101,9646,127,74599,170,6,147,20364,503,1826,13,15,601
