"District","9.К-сть виборців, які взяли участь у голосуванні","Богомолець","Бойко","Гриненко","Гриценко","Добкін","Клименко","Коновалюк","Кузьмін","Куйбіда","Ляшко","Маломуж","Порошенко","Рабінович","Саранов","Симоненко","Тимошенко","Тігіпко","Тягнибок","Цушко","Шкіряк","Ярош"
11,459,1,2,0,1,0,0,1,0,0,9,0,349,5,0,1,72,1,1,2,1,4
11,1460,21,1,3,80,10,0,1,0,0,53,2,1077,18,0,8,150,10,13,0,0,6
11,1728,10,1,7,75,4,1,0,0,1,83,1,1228,11,0,2,231,16,19,1,0,17
11,1445,11,2,3,64,7,0,1,1,0,74,0,1042,8,0,4,179,15,13,0,0,8
11,1148,14,0,4,59,6,0,3,0,0,39,2,832,15,0,7,118,29,8,0,0,5
11,1163,11,0,3,62,3,0,1,0,0,28,0,880,13,0,11,99,21,19,0,1,6
11,1650,25,4,3,84,10,0,0,0,1,85,2,1210,14,0,5,145,23,17,0,1,8
11,1516,16,0,6,83,3,0,0,0,0,35,3,1148,7,0,9,145,29,15,0,0,7
11,1520,18,0,0,59,3,0,5,1,0,42,2,1130,21,0,5,167,29,18,0,0,11
11,1746,22,0,2,76,3,0,3,0,0,56,2,1310,9,0,4,197,27,12,0,0,10
11,1396,17,1,5,66,5,0,1,1,0,50,3,1029,13,0,9,151,21,11,0,0,9
11,1279,16,1,8,58,4,1,0,0,0,50,1,966,13,0,8,92,16,23,1,0,9
11,1508,22,0,4,94,10,0,2,0,0,73,1,1091,12,0,6,118,26,31,0,0,8
11,1426,19,2,1,60,15,0,3,1,1,51,2,1039,16,1,16,125,35,12,1,0,14
11,1364,27,0,3,53,10,0,1,0,1,69,0,990,7,0,14,119,34,18,1,1,8
11,1155,11,2,4,62,3,0,4,2,1,35,0,824,8,0,12,135,29,11,0,0,9
11,1579,23,1,3,92,3,0,2,1,0,75,1,1154,16,0,15,137,22,12,0,0,12
11,1446,13,0,0,70,16,0,2,2,0,35,0,1093,23,1,23,91,41,13,0,1,9
11,1396,12,2,6,59,9,0,5,2,1,46,0,1015,11,0,17,146,30,13,0,0,11
11,261,6,2,1,7,2,0,0,1,0,4,3,178,3,0,4,35,4,0,1,0,2
11,929,4,1,0,38,2,0,5,0,1,75,0,664,9,0,4,87,11,16,0,0,5
11,1588,13,2,4,108,5,0,1,4,0,55,0,1159,20,0,10,152,22,15,0,0,6
11,1448,25,0,7,83,7,0,0,7,1,50,1,1032,13,0,17,154,23,11,0,0,7
11,1451,21,2,4,76,8,0,2,2,0,46,0,1082,12,0,5,123,32,16,1,0,8
11,1703,27,2,7,94,6,0,3,1,0,47,0,1268,12,0,4,166,17,18,1,0,11
11,1573,21,0,9,68,11,0,5,0,0,45,1,1207,15,1,10,119,37,9,1,0,5
11,1460,23,0,9,87,6,1,0,0,0,40,2,1065,10,1,8,140,32,14,0,0,13
11,1640,20,0,5,124,8,1,1,1,1,50,1,1194,9,0,3,152,38,14,0,0,12
11,1482,18,0,0,102,8,0,0,0,0,113,1,1050,15,0,5,115,17,14,1,0,18
11,1385,11,0,9,68,13,0,2,0,0,123,0,969,16,0,8,94,19,23,0,0,22
11,1700,9,0,1,99,8,1,1,0,1,68,0,1235,26,0,10,178,29,8,0,0,6
11,1662,13,0,5,99,7,0,1,0,1,51,1,1245,15,0,6,155,21,22,2,0,6
11,1412,16,3,1,82,5,0,3,0,1,56,1,1027,18,0,13,126,30,12,0,0,5
11,1358,19,2,1,75,8,0,4,1,0,58,3,959,15,0,7,142,26,15,1,0,13
11,1448,28,3,3,100,7,0,3,1,1,40,1,1004,17,0,21,160,22,13,3,0,8
11,1483,25,1,2,86,8,0,4,2,0,46,1,1080,16,1,16,121,36,13,0,0,8
11,1650,22,2,7,80,5,0,1,2,0,47,1,1184,13,1,7,193,45,14,1,0,10
11,1522,31,2,5,61,11,0,4,0,0,55,0,1110,14,0,18,141,34,16,0,0,10
11,1535,21,0,7,84,12,1,3,1,0,49,1,1086,29,0,23,125,54,9,1,0,10
11,1523,25,0,2,52,11,0,2,3,1,42,4,1136,19,0,22,132,35,15,0,0,15
11,1345,21,0,3,69,14,0,2,2,1,49,1,940,17,1,22,120,52,12,0,0,8
