"tvo","candidate","perc_for","votes_for"
11,"Богомолець",1.24644027533308,1742
12,"Богомолець",0.985038985473162,1089
13,"Богомолець",0.785509488918218,863
14,"Богомолець",0.825533021320853,889
15,"Богомолець",0.880803500915181,948
16,"Богомолець",0.819442253422376,935
17,"Богомолець",1.02049461980927,1084
18,"Богомолець",0.941649899396378,936
19,"Богомолець",1.8641587517593,2000
20,"Богомолець",1.78596117404989,2196
21,"Богомолець",1.81482344924054,2024
22,"Богомолець",2.34604593854325,2818
23,"Богомолець",1.83225332966382,2197
24,"Богомолець",2.80789830854774,1924
25,"Богомолець",2.86202245235402,2631
26,"Богомолець",2.8908669810531,2072
27,"Богомолець",2.76014876948643,1744
28,"Богомолець",2.84334629374138,2267
29,"Богомолець",2.68744478798587,1947
30,"Богомолець",2.48833130184024,2511
31,"Богомолець",2.68673485200682,2774
32,"Богомолець",2.56705157105396,2790
33,"Богомолець",2.7193660815492,2567
34,"Богомолець",3.22269113230761,2436
35,"Богомолець",2.65475430759413,2496
36,"Богомолець",2.3134562749585,2578
37,"Богомолець",2.79705903693134,2313
38,"Богомолець",2.61589991339462,2507
39,"Богомолець",2.38005183161729,1699
40,"Богомолець",2.60157075970397,2067
47,"Богомолець",2.80840441023507,135
49,"Богомолець",2.91102066051832,565
50,"Богомолець",2.77823442380404,338
58,"Богомолець",2.79851580312039,626
59,"Богомолець",2.42865816636308,600
60,"Богомолець",2.34929078014184,159
61,"Богомолець",2.23918575063613,396
62,"Богомолець",2.56507455142785,203
63,"Богомолець",1.90367730279576,2708
64,"Богомолець",1.4209891007207,1601
65,"Богомолець",2.12127177871838,2155
66,"Богомолець",1.8116226178339,1848
67,"Богомолець",1.45866316561764,1511
68,"Богомолець",1.22904453358017,1195
69,"Богомолець",2.29767863395745,2231
70,"Богомолець",1.54222038368065,1193
71,"Богомолець",1.1192168961158,965
72,"Богомолець",1.24378712571221,1026
73,"Богомолець",1.01569955162813,777
74,"Богомолець",1.41122070591061,940
75,"Богомолець",3.09894212818917,2739
76,"Богомолець",3.13796909492274,2843
77,"Богомолець",3.26974907548628,3130
78,"Богомолець",2.78790344029162,1782
79,"Богомолець",2.46221662468514,1955
80,"Богомолець",2.94307095927952,2513
81,"Богомолець",3.13559449726521,2081
82,"Богомолець",3.06048938020122,2464
83,"Богомолець",2.88522288522289,2466
84,"Богомолець",2.183588964191,2816
85,"Богомолець",1.31723668360132,1509
86,"Богомолець",1.7393212806233,2536
87,"Богомолець",1.23646384258229,1723
88,"Богомолець",1.0795984420429,984
89,"Богомолець",1.63296167561955,1447
90,"Богомолець",1.39304391513851,1220
91,"Богомолець",1.85718172315535,2594
92,"Богомолець",1.70820909771896,1163
93,"Богомолець",1.42240131261461,1179
94,"Богомолець",1.62968732884632,1339
95,"Богомолець",1.63395275889929,1719
96,"Богомолець",1.82070299903257,2823
97,"Богомолець",1.56696353554025,1492
98,"Богомолець",1.81552315733086,2508
99,"Богомолець",1.85766634522662,2408
100,"Богомолець",1.95963110904175,2399
101,"Богомолець",2.0760736196319,1692
102,"Богомолець",1.53689405005954,1252
103,"Богомолець",1.81009471797935,1697
104,"Богомолець",2.19366050169828,1944
114,"Богомолець",3.87486068738813,3442
115,"Богомолець",2.27730698098104,825
117,"Богомолець",1.94787898576253,2267
118,"Богомолець",1.82114882506527,1674
119,"Богомолець",2.05404757624783,1714
120,"Богомолець",1.73064601056912,2728
121,"Богомолець",1.77677107157828,2416
122,"Богомолець",1.20583393944034,1260
123,"Богомолець",1.3858845096242,1890
124,"Богомолець",0.985933341781777,1556
125,"Богомолець",1.27532280661896,1684
126,"Богомолець",1.20675213311186,1700
127,"Богомолець",1.44429160935351,1953
128,"Богомолець",1.24082879987355,1884
129,"Богомолець",2.97780130995803,3037
130,"Богомолець",3.01381079095977,2503
131,"Богомолець",2.33479755538579,1956
132,"Богомолець",2.35695656373764,1464
133,"Богомолець",2.41910061539727,1765
134,"Богомолець",1.82422193728873,1252
135,"Богомолець",2.79834137656374,2389
136,"Богомолець",2.85452859946305,2371
137,"Богомолець",3.09571456462319,2537
138,"Богомолець",2.93906958877942,2831
139,"Богомолець",1.84835790348886,1156
140,"Богомолець",1.72213207604935,1125
141,"Богомолець",2.55706152063284,2030
142,"Богомолець",2.88776160045677,2630
143,"Богомолець",2.98744793425645,2123
144,"Богомолець",1.47159194952639,884
145,"Богомолець",2.89323149158483,1750
146,"Богомолець",2.4001072673639,1969
147,"Богомолець",2.30042934944434,2395
148,"Богомолець",2.05654127149794,2266
149,"Богомолець",1.8297481636936,1674
150,"Богомолець",1.80981000387747,1867
151,"Богомолець",1.93537824658239,1655
152,"Богомолець",1.66511509817197,1574
153,"Богомолець",1.87269220170846,1699
154,"Богомолець",3.07261949692516,4152
155,"Богомолець",2.03007584419212,2326
156,"Богомолець",1.73479877845977,2295
157,"Богомолець",1.86598741484914,2227
158,"Богомолець",1.69890501295999,1927
159,"Богомолець",1.43162681361876,2229
160,"Богомолець",1.26958987393509,994
161,"Богомолець",2.43027509858887,2046
162,"Богомолець",1.80877029560542,1534
163,"Богомолець",1.10991644826737,991
164,"Богомолець",1.73276170060736,1358
165,"Богомолець",1.6344521502143,2147
166,"Богомолець",1.26741223207008,1726
167,"Богомолець",1.06753093151674,1390
168,"Богомолець",0.961755805898866,1319
169,"Богомолець",1.16066080404191,1337
170,"Богомолець",2.46244825547014,2082
171,"Богомолець",2.38501320422535,1734
172,"Богомолець",2.19012971741447,2384
173,"Богомолець",2.20525769303379,1869
174,"Богомолець",2.11308550456049,1163
175,"Богомолець",2.06741490878514,1131
176,"Богомолець",2.16293694554564,1675
177,"Богомолець",1.95631240180427,1544
178,"Богомолець",1.89135982500911,1297
179,"Богомолець",2.26556661146852,1546
180,"Богомолець",1.85177110132415,1274
181,"Богомолець",2.20509168098091,1579
182,"Богомолець",2.0210072212323,1293
183,"Богомолець",2.07843344520494,1573
184,"Богомолець",1.95967447769267,1558
185,"Богомолець",2.07588686738582,1934
186,"Богомолець",2.24631362494631,1726
187,"Богомолець",2.06421139975745,1617
188,"Богомолець",2.49199308065151,1455
189,"Богомолець",2.28415403446003,1213
190,"Богомолець",2.01612630696757,2983
191,"Богомолець",1.64870498492106,1487
192,"Богомолець",1.4989638035452,1490
193,"Богомолець",1.63438853954556,1822
194,"Богомолець",1.30579953637736,1228
195,"Богомолець",2.12937007457555,2013
196,"Богомолець",1.64590113635118,1502
197,"Богомолець",2.00972563656265,2240
198,"Богомолець",2.18579234972678,1632
199,"Богомолець",1.41714772404656,1198
200,"Богомолець",1.48730272130935,1603
201,"Богомолець",1.87223078404932,1555
202,"Богомолець",1.39044524129688,1489
203,"Богомолець",1.40366893954523,1476
204,"Богомолець",1.77675741771267,2136
205,"Богомолець",1.09240951058093,1337
206,"Богомолець",1.7079152173369,1365
207,"Богомолець",1.36504710373809,1491
208,"Богомолець",2.05043423381399,2989
209,"Богомолець",1.52522045855379,1081
210,"Богомолець",1.06790645252184,758
211,"Богомолець",1.17059550018794,1090
212,"Богомолець",1.12421885631143,1074
213,"Богомолець",1.52558690661335,1236
214,"Богомолець",2.15687171278299,2358
215,"Богомолець",2.0353622933907,3709
216,"Богомолець",2.05440915642766,3834
217,"Богомолець",2.10708379836038,3606
218,"Богомолець",2.0468901428974,2978
219,"Богомолець",2.24503112710086,1273
220,"Богомолець",2.0372179971959,1918
221,"Богомолець",2.02758027556713,3442
222,"Богомолець",2.2338350328486,3424
223,"Богомолець",2.1505376344086,2394
11,"Бойко",0.0636815066042731,89
12,"Бойко",0.0714582918754636,79
13,"Бойко",0.0773676785145406,85
14,"Бойко",0.120719114478865,130
15,"Бойко",0.0799041150619257,86
16,"Бойко",0.111303921053093,127
17,"Бойко",0.100731479999623,107
18,"Бойко",0.0814889336016097,81
19,"Бойко",0.055924762552779,60
20,"Бойко",0.0862075976545027,106
21,"Бойко",0.0887685382780697,99
22,"Бойко",0.0707643381036822,85
23,"Бойко",0.115089194125447,138
24,"Бойко",0.471388333503597,323
25,"Бойко",0.42206944565312,388
26,"Бойко",0.521807070904373,374
27,"Бойко",0.327609400965419,207
28,"Бойко",0.395083406496927,315
29,"Бойко",0.461020318021201,334
30,"Бойко",0.377560424532509,381
31,"Бойко",0.341895242522858,353
32,"Бойко",0.283387772001656,308
33,"Бойко",0.337934468256406,319
34,"Бойко",0.423342020664382,320
35,"Бойко",0.256328440757286,241
36,"Бойко",0.617400278189079,688
37,"Бойко",0.411154376375553,340
38,"Бойко",0.419462211880589,402
39,"Бойко",0.42025635637739,300
40,"Бойко",0.438000302069174,348
47,"Бойко",0.748907842729353,36
49,"Бойко",0.680096862280385,132
50,"Бойко",0.452079566003617,55
58,"Бойко",0.889624033260316,199
59,"Бойко",0.688119813802874,170
60,"Бойко",0.295508274231678,20
61,"Бойко",0.797285835453774,141
62,"Бойко",0.631791761435431,50
63,"Бойко",0.104041447863284,148
64,"Бойко",0.102957361451344,116
65,"Бойко",0.190963677527316,194
66,"Бойко",0.171555172143361,175
67,"Бойко",0.117774259566745,122
68,"Бойко",0.105934382392266,103
69,"Бойко",0.282189128509341,274
70,"Бойко",0.138321526449144,107
71,"Бойко",0.192528502337018,166
72,"Бойко",0.24245363074312,200
73,"Бойко",0.126799043124747,97
74,"Бойко",0.363314266840817,242
75,"Бойко",0.29982463087628,265
76,"Бойко",0.322295805739514,292
77,"Бойко",0.268474604600631,257
78,"Бойко",0.317589449146576,203
79,"Бойко",0.397984886649874,316
80,"Бойко",0.508274093246044,434
81,"Бойко",0.364639052541173,242
82,"Бойко",0.387529499441063,312
83,"Бойко",0.379080379080379,324
84,"Бойко",0.0480761774786371,62
85,"Бойко",0.0427730931056757,49
86,"Бойко",0.0240048283997696,35
87,"Бойко",0.0258344157475116,36
88,"Бойко",0.049371879971474,45
89,"Бойко",0.057554281587144,51
90,"Бойко",0.0468154102628514,41
91,"Бойко",0.21550181136074,301
92,"Бойко",0.282008724644919,192
93,"Бойко",0.369172859762571,306
94,"Бойко",0.586638754670594,482
95,"Бойко",0.285157549546124,300
96,"Бойко",0.141889712995808,220
97,"Бойко",0.562930599899177,536
98,"Бойко",0.225854555457428,312
99,"Бойко",0.351012536162006,455
100,"Бойко",0.123344850965112,151
101,"Бойко",0.153374233128834,125
102,"Бойко",0.162036752881676,132
103,"Бойко",0.230395084904855,216
104,"Бойко",0.227942089168237,202
114,"Бойко",0.380506366164203,338
115,"Бойко",1.99574902696884,723
117,"Бойко",0.0618647053263793,72
118,"Бойко",0.0271975630983464,25
119,"Бойко",0.0802924081730481,67
120,"Бойко",0.0456768741792437,72
121,"Бойко",0.0389771799642587,53
122,"Бойко",0.0373234314588677,39
123,"Бойко",0.0535288725939505,73
124,"Бойко",0.025978963375998,41
125,"Бойко",0.0219622098527017,29
126,"Бойко",0.0518193563042151,73
127,"Бойко",0.0465900519146293,63
128,"Бойко",0.0434685248363344,66
129,"Бойко",0.301015805781072,307
130,"Бойко",0.31306064948044,260
131,"Бойко",0.243506493506494,204
132,"Бойко",0.212512477058312,132
133,"Бойко",0.300160359644193,219
134,"Бойко",0.231670357850565,159
135,"Бойко",0.323291008761655,276
136,"Бойко",0.39609443661887,329
137,"Бойко",0.301395939086294,247
138,"Бойко",0.316642961701774,305
139,"Бойко",0.243036679351476,152
140,"Бойко",0.274010348100297,179
141,"Бойко",0.303572328311584,241
142,"Бойко",0.346970595340053,316
143,"Бойко",0.391196667792412,278
144,"Бойко",0.357909806728704,215
145,"Бойко",0.327348477333598,198
146,"Бойко",0.185279992198737,152
147,"Бойко",0.157524180922285,164
148,"Бойко",0.480101647229659,529
149,"Бойко",0.114769150052466,105
150,"Бойко",0.156068243505235,161
151,"Бойко",0.216341374995615,185
152,"Бойко",0.16926201760325,160
153,"Бойко",0.128961146321301,117
154,"Бойко",0.0962043676782926,130
155,"Бойко",0.107351388149454,123
156,"Бойко",0.0884407220391256,117
157,"Бойко",0.149144930329208,178
158,"Бойко",0.101387688889673,115
159,"Бойко",0.0976255162270307,152
160,"Бойко",0.122616325852886,96
161,"Бойко",0.253005178885352,213
162,"Бойко",0.139136176585032,118
163,"Бойко",0.090719709696929,81
164,"Бойко",0.185015056397693,145
165,"Бойко",0.0373023546159761,49
166,"Бойко",0.0873824192446928,119
167,"Бойко",0.037632385355626,49
168,"Бойко",0.0408326953224689,56
169,"Бойко",0.0494821733959529,57
170,"Бойко",0.217622708456535,184
171,"Бойко",0.206316021126761,150
172,"Бойко",0.186491750266417,203
173,"Бойко",0.17580706060034,149
174,"Бойко",0.228932737381446,126
175,"Бойко",0.204730742514532,112
176,"Бойко",0.178200178200178,138
177,"Бойко",0.212863007450205,168
178,"Бойко",0.456434560699964,313
179,"Бойко",0.40592622986855,277
180,"Бойко",0.406982659631681,280
181,"Бойко",0.263940676190875,189
182,"Бойко",0.254775078933383,163
183,"Бойко",0.212732221664332,161
184,"Бойко",0.250305019936355,199
185,"Бойко",0.251167283851232,234
186,"Бойко",0.248578158959876,191
187,"Бойко",0.229782345056488,180
188,"Бойко",0.244917533012486,143
189,"Бойко",0.361547876847754,192
190,"Бойко",0.0858357495758903,127
191,"Бойко",0.141919460706049,128
192,"Бойко",0.124745980966178,124
193,"Бойко",0.150701028893334,168
194,"Бойко",0.130792624572,123
195,"Бойко",0.138573015285344,131
196,"Бойко",0.103005796815587,94
197,"Бойко",0.121121857560696,135
198,"Бойко",0.150005357334191,112
199,"Бойко",0.11356108640106,96
200,"Бойко",0.156802345540411,169
201,"Бойко",0.119196686572915,99
202,"Бойко",0.0793739728074107,85
203,"Бойко",0.110315445113311,116
204,"Бойко",0.262021810196392,315
205,"Бойко",0.165863224119618,203
206,"Бойко",1.21118090137884,968
207,"Бойко",0.169372041711298,185
208,"Бойко",0.144058611274987,210
209,"Бойко",0.159435626102293,113
210,"Бойко",0.14792899408284,105
211,"Бойко",0.0988025559791656,92
212,"Бойко",0.0680393162572095,65
213,"Бойко",0.133303710286603,108
214,"Бойко",0.189343699977132,207
215,"Бойко",0.159141295519898,290
216,"Бойко",0.138246625549905,258
217,"Бойко",0.141991503882854,243
218,"Бойко",0.156712878636873,228
219,"Бойко",0.21515616457683,122
220,"Бойко",0.137018311594511,129
221,"Бойко",0.118992218380174,202
222,"Бойко",0.161144057568225,247
223,"Бойко",0.182355530403069,203
