"okrug","9.К-сть виборців, які взяли участь у голосуванні","БалашовГеннадій","БезсмертнийРоман","БогомолецьОльга","БогословськаІнна","БойкоЮрій","БондарВіктор","ВащенкоОлександр","ВілкулОлександр","ГаберМикола","ГриценкоАнатолій","ДанилюкОлександр","Дерев’янкоЮрій","ЖуравльовВасиль","ЗеленськийВолодимир","КаплінСергій","КармазінЮрій","КиваІлля","КорнацькийАркадій","КошулинськийРуслан","КривенкоВіктор","КупрійВіталій","ЛитвиненкоЮлія","ЛяшкоОлег","МорозОлександр","НаливайченкоВалентин","НасіровРоман","НовакАндрій","НосенкоСергій","ПетровВолодимир","ПорошенкоПетро","РиговановРуслан","СкоцикВіталій","СмешкоІгор","СоловйовОлександр","ТарутаСергій","ТимошенкоЮлія","ТимошенкоЮрій","ШевченкоІгор","ШевченкоОлександр"
11,116533,284,236,265,97,6070,78,21,2393,20,8952,38,151,29,26398,64,60,39,19,1607,38,23,90,2575,101,337,18,36,24,139,33083,35,105,15762,38,75,14811,653,93,372
12,117283,198,207,255,108,5450,67,41,2545,29,8240,26,153,46,28535,68,73,37,15,1692,28,35,96,3666,116,293,21,40,21,145,31819,33,105,13789,51,80,16207,816,91,477
13,96329,108,103,144,66,3591,88,26,1535,40,5362,27,46,46,22164,46,173,16,18,1012,18,33,172,8848,104,253,14,33,30,135,20460,41,113,7991,55,125,20141,1197,111,631
14,103521,120,120,207,83,5102,104,20,2345,39,5971,39,113,51,24356,54,157,22,16,1128,28,31,129,8666,99,248,20,15,17,149,23232,45,85,8237,24,142,19150,1161,116,617
15,94057,65,66,150,75,4960,83,23,2642,34,5291,46,47,51,21896,55,228,30,16,1351,30,31,154,12093,103,219,15,22,19,127,18318,48,84,5114,27,245,17573,971,115,584
16,80320,98,79,150,60,5330,61,35,2552,29,4416,26,34,34,20876,49,261,33,12,617,21,21,145,9287,86,170,17,25,31,98,14512,39,79,4864,26,184,13640,780,107,553
17,100916,85,109,176,93,4684,77,29,2013,34,6330,16,58,46,24352,43,157,29,13,835,53,30,219,10052,77,222,15,21,26,132,18150,47,105,9373,24,98,20077,1170,135,579
18,90811,94,103,121,76,3530,58,35,2133,41,5269,30,50,38,18766,55,238,30,15,791,27,26,180,10186,106,236,12,26,17,138,19341,39,88,6739,57,105,19283,1169,104,541
19,92605,102,229,195,77,2868,40,26,667,26,9318,33,43,38,22823,36,97,33,27,2903,55,30,120,8593,62,326,6,29,19,73,14074,29,68,5717,15,81,20291,913,172,1341
20,110071,121,279,244,90,3001,67,32,771,42,8528,34,82,34,21132,40,90,29,41,3433,89,36,208,13396,78,442,12,42,23,108,22509,37,92,6427,30,118,23919,1205,254,1964
21,101853,134,146,196,108,5340,63,42,1676,30,8480,34,42,34,23954,66,87,44,19,2219,30,39,175,10526,84,329,15,24,23,101,17039,33,115,7161,31,74,19771,959,184,1313
22,108978,289,269,354,91,3872,50,22,1401,25,13579,38,135,19,24613,49,66,42,28,4166,55,20,83,4141,59,500,10,56,13,83,23091,22,90,12082,23,72,16432,586,133,1175
23,106656,116,250,212,107,3839,73,44,1215,41,7010,34,62,49,20014,47,103,36,20,2130,72,61,202,14891,75,361,12,27,13,153,22034,40,75,4656,39,96,22808,1171,407,2849
24,102862,324,148,141,100,13391,102,43,10104,16,3778,21,45,46,47309,72,40,39,23,466,36,24,67,1642,44,163,18,11,14,47,9867,8,48,5465,18,68,7284,329,45,143
25,95909,281,147,149,90,12264,79,31,8147,20,3812,15,45,42,43307,67,34,21,8,481,35,23,56,1284,46,141,15,23,18,52,10527,10,54,5262,22,65,7527,324,38,163
26,91415,262,135,133,97,12051,85,17,8114,13,4011,9,55,40,38806,47,41,23,4,496,31,10,58,1137,46,129,17,23,8,58,10788,10,47,5478,19,60,7519,266,43,170
27,91693,293,180,152,79,11407,83,17,7408,12,4230,11,40,23,38175,51,25,23,13,554,54,32,60,894,22,144,15,29,9,70,12488,5,48,5789,19,68,7814,229,40,152
28,93487,223,126,102,82,11992,92,23,8508,21,3388,13,46,44,43108,59,28,33,10,516,40,17,58,1402,31,156,8,15,8,41,9359,13,38,4948,12,64,7136,352,45,190
29,93689,225,93,111,85,11704,94,28,7373,18,3171,15,46,49,43539,63,39,27,5,498,73,61,60,2430,31,130,12,20,14,46,8738,14,51,4797,21,53,8204,372,35,153
30,100175,153,86,108,110,14181,76,17,9292,22,3213,13,16,55,46352,77,43,28,5,746,85,131,60,1798,34,103,5,10,15,27,6513,10,32,5273,21,127,9553,406,38,143
31,114523,155,71,79,92,7947,59,68,21544,29,3219,16,18,44,56442,62,27,27,12,620,12,20,44,1743,29,130,5,14,8,18,7536,11,37,5186,10,45,7416,382,28,137
32,115196,174,80,87,84,8657,58,63,19778,22,3250,14,21,62,59460,67,28,25,2,611,16,20,39,1743,31,125,10,10,7,43,7412,6,54,5582,13,53,6076,227,26,104
33,95114,143,75,76,72,8165,49,58,16616,18,2938,14,14,46,46398,54,25,20,3,488,17,15,38,1384,25,97,5,13,6,32,6531,6,22,4618,12,45,5629,224,22,106
34,91455,87,88,100,80,12626,106,36,8026,20,2777,21,31,57,39329,52,78,38,5,488,21,29,96,4637,47,129,6,12,14,50,6267,19,43,4123,17,106,9973,471,51,184
35,96808,125,77,105,91,12371,76,39,7101,14,3309,12,28,63,41497,51,35,29,10,456,21,25,60,3888,49,84,16,14,8,46,8546,12,54,5152,17,86,11269,509,64,275
36,103340,119,67,86,106,16465,94,41,14880,15,2717,17,23,54,41662,54,46,22,10,290,23,11,69,3220,27,69,10,15,11,33,7281,22,32,3918,16,84,10029,463,42,163
37,90295,89,67,85,76,9297,63,40,12221,27,2269,16,20,73,42368,46,51,26,8,399,12,17,70,4254,36,85,8,9,6,50,5039,13,46,3143,20,63,8586,455,34,120
38,92669,143,77,94,94,14076,96,39,7269,23,2694,20,34,70,42520,63,64,20,13,460,28,16,62,4661,48,122,9,24,13,55,6951,27,42,3861,12,70,7142,362,35,176
39,92815,67,58,105,95,15169,94,36,6767,19,2700,6,30,55,38541,54,73,25,9,277,16,12,79,6227,48,104,11,10,9,57,6943,14,33,3134,8,65,10131,538,44,170
40,85953,94,60,114,87,11986,79,25,6958,32,2888,10,23,56,38137,66,70,23,11,368,23,48,72,4064,38,92,9,11,11,59,6391,17,37,3060,13,91,9154,514,55,176
45,25090,22,16,21,38,8790,48,12,2221,7,259,5,10,16,4378,14,5,20,6,167,3,9,19,266,28,9,0,5,6,24,6700,5,12,386,15,22,999,58,16,34
46,91152,93,96,93,141,35611,160,44,7865,30,1022,11,33,60,23218,64,54,42,9,314,19,13,69,2305,63,73,14,13,22,66,12519,26,34,1791,29,171,3201,212,61,136
47,76094,83,54,83,156,34260,159,25,5491,16,1094,15,66,38,19148,50,36,28,6,240,14,11,44,1933,61,35,11,10,6,40,6977,15,25,2429,9,71,2180,108,36,83
