"id","deputat","tvo","winner","factions_text","party_name","anketa_data","proposed","prediction_150","year","convocation","previous","ever","anketa_url","fraction"
17999,"Кудлаєнко Сергій Володимирович",11,0,NA,"Безпартійний","народився 13 жовтня 1975 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор Департаменту адміністративних послуг, Вінницька міська рада, безпартійний, проживає в місті Вінниці, судимість відсутня, включений до виборчого списку під № 63.","самовисування",0.217161223292351,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/17999","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18150,"Юрчишин Петро Васильович",13,1,NA,"Безпартійний","народився 13 липня 1958 року в місті Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, агропромислове науково-виробниче підприємство ""Візит"", безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.","самовисування",0.436067044734955,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18150","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18137,"Спориш Іван Дмитрович",15,1,NA,"Безпартійний","народився 8 липня 1959 року в селі Комаргород Томашпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ПСП ""Перемога"", безпартійний, проживає в селі Високе Томашпільського району Вінницької області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.245686247944832,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18137","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18163,"Македон Юрій Миколайович",16,1,NA,"Безпартійний","народився 24 жовтня 1980 року в місті Могилів-Подільський Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ТОВ ""Вікторія транспорт"", безпартійний, проживає в місті Могилів-Подільський Вінницької області, судимість відсутня, самовисування.","самовисування",0.677032232284546,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18163","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18112,"Кучер Микола Іванович",17,1,NA,"Українська Народна Партія","народився 24 серпня 1959 року в селі Гордіївка Тростянецького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор Департаменту виробництва продукції рослинництва і тваринництва, ПАТ ""Миронівський хлібопродукт"", член Української Народної Партії, проживає в місті Ладижин Вінницької області, судимість відсутня, самовисування.","самовисування",0.427657246589661,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18112","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18080,"Демчак Руслан Євгенійович",18,1,NA,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","народився 5 липня 1974 року в смт Липовець Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови ради, Об’єднання організацій роботодавців ""Федерація роботодавців міста Києва"", член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Липовець Вінницької області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.415474504232407,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18080","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
14674,"Гузь Ігор Володимирович",19,1,NA,"Політична партія ""НАРОДНИЙ ФРОНТ""","народився 11 сiчня 1982 року в місті Луцьку Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Волинська обласна рада, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","самовисування",0.592951416969299,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/14674","Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
15732,"Мартиняк Сергій Васильович",20,1,NA,"Безпартійний","народився 4 березня 1971 року в місті Луцьку Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, голова підкомітету з питань банківської діяльності Комітету Верховної Ради України з питань фінансів і банківської діяльності, безпартійний, проживає в селі Гаразджа Луцького району Волинської області, судимість відсутня, самовисування.","самовисування",0.732539176940918,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15732","Член депутатської групи ""Воля народу"""
15733,"Івахів Степан Петрович",21,1,NA,"Безпартійний","народився 24 сiчня 1968 року в селі Андріївка Буського району Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Липини Луцького району Волинської області, судимість відсутня, самовисування.","самовисування",0.789432108402252,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15733","Заступник голови депутатської групи ""Воля народу"""
20103,"Констанкевич Ірина Мирославівна",23,1,NA,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ'ЄДНАННЯ ПАТРІОТІВ – УКРОП""","народилася 23 червня 1965 року в місті Львові, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач кафедри української літератури, Східноєвропейський національний університет імені Лесі Українки, заступник голови правління, благодійний фонд ""Фонд Ігоря Палиці ""Тільки разом"", член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"".","самовисування",0.432355135679245,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/20103",NA
