"id","deputat","tvo","fraction","source","winner","prediction_150","previous","factions_text","party_name","anketa_url","anketa_data","proposed","year","convocation","ever","X17"
13646,"Курячий Максим Павлович",25,"Не входить до складу будь-якої фракції","http://w1.c1.rada.gov.ua/pls/site2/p_deputat_fr_changes?d_id=13646",1,0.779533326625824,TRUE,NA,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","http://itd.rada.gov.ua/mps/info/page/13646","народився 8 листопада 1979 року в місті Павлоград Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",2019,8,TRUE,NA
18083,"Дідич Валентин Володимирович",40,"Не входить до складу будь-якої фракції",NA,0,0.654616594314575,TRUE,NA,"Безпартійний","http://itd.rada.gov.ua/mps/info/page/18083","народився 11 жовтня 1957 року в селі Завадівка Володарського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Криничанська районна державна адміністрація, безпартійний, проживає в селі Чернече Криничанського району Дніпропетровської області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",2019,8,TRUE,NA
18122,"Недава Олег Анатолійович",47,"Не входить до складу будь-якої фракції",NA,1,0.776038765907288,TRUE,NA,"Безпартійний","http://itd.rada.gov.ua/mps/info/page/18122","народився 26 жовтня 1969 року в місті Макіївка Червоногвардійського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор із зовнішньоекономічної діяльності, ТОВ ""Карпатибудінвест"", безпартійний, проживає в місті Єнакієве Донецької області, судимість відсутня, самовисування.","самовисування",2019,8,TRUE,NA
18131,"Розенблат Борислав Соломонович",62,"Не входить до складу будь-якої фракції",NA,0,0.452597081661224,TRUE,NA,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","http://itd.rada.gov.ua/mps/info/page/18131","народився 25 травня 1969 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови правління, ПрАТ ""Фаворит компані"", член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Житомирі, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",2019,8,TRUE,NA
18039,"Мельничук Сергій Петрович",38,"Не входить до складу будь-якої фракції","http://itd.rada.gov.ua/mps/info/page/18039",0,0.424568951129913,TRUE,NA,"Безпартійний","http://itd.rada.gov.ua/mps/info/page/18039","народився 26 сiчня 1972 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, проходить військову службу за призовом під час мобілізації, командир, 24-й батальйон територіальної оборони ""Айдар"", безпартійний, проживає в місті Вінниці, судимість відсутня, включений до виборчого списку під № 3.","самовисування",2019,8,TRUE,NA
20103,"Констанкевич Ірина Мирославівна",23,"Не входить до складу будь-якої фракції","https://itd.rada.gov.ua/mps/info/page/20103",1,0.432355135679245,TRUE,NA,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ'ЄДНАННЯ ПАТРІОТІВ – УКРОП""","http://itd.rada.gov.ua/mps/info/page/20103","народилася 23 червня 1965 року в місті Львові, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач кафедри української літератури, Східноєвропейський національний університет імені Лесі Українки, заступник голови правління, благодійний фонд ""Фонд Ігоря Палиці ""Тільки разом"", член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"".","самовисування",2019,8,TRUE,NA
18087,"Дубінін Олександр Іванович",30,"Не входить до складу будь-якої фракції","https://ukrop.party/uk/people/presidium/dubinin-oleksandr",0,0.576047837734222,TRUE,NA,"Безпартійний","http://itd.rada.gov.ua/mps/info/page/18087","народився 16 травня 1959 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, ПАТ ""ДНІПРОАЗОТ"", безпартійний, проживає в селищі Сонячне Запорізького району Запорізької області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",2019,8,TRUE,NA
NA,"Гайворонський Анатолій Іванович",38,"член Політичної партії ""РУХ НОВИХ СИЛ МИХАЙЛА СААКАШВІЛІ""",NA,0,0.133808329701424,FALSE,NA,NA,NA,NA,"самовисування",2019,NA,FALSE,NA
18218,"Чижмарь Юрій Васильович",68,"Член депутатської фракції Радикальної партії Олега Ляшка",NA,0,0.683189988136292,TRUE,NA,"Безпартійний","http://itd.rada.gov.ua/mps/info/page/18218","народився 27 жовтня 1974 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат, безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 25.","самовисування",2019,8,TRUE,NA
17998,"Брензович Василь Іванович",73,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",NA,1,0.829871654510498,TRUE,NA,"Безпартійний","http://itd.rada.gov.ua/mps/info/page/17998","народився 25 квiтня 1964 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Закарпатська обласна рада, безпартійний, проживає в селі Запсонь Берегівського району Закарпатської області, судимість відсутня, включений до виборчого списку під № 62.","самовисування",2019,8,TRUE,NA
