"deputat","tvo","winner","likelihood","proposed","fraction","age","gender.x","spread"
"Гижко Андрій Петрович",11,1,0.362527480032736,"політична партія європейська солідарність",NA,41,"M",0.0264783364435844
"Кудлаєнко Сергій Володимирович",11,0,0.336049143589152,"самовисування","партії блок петра порошенка",44,"M",0
"Грушко Сергій Сергійович",12,1,0.601138956647543,"політична партія опозиційна платформа  за життя",NA,29,"M",0.383314192647185
"Драбовський Анатолій Григорович",12,0,0.217824764000358,"політична партія слуга народу",NA,61,"M",0
"Юрчишин Петро Васильович",13,1,0.645609080832492,"самовисування","партії блок петра порошенка",61,"M",0.477277888239308
"Максименко Юрій Володимирович",13,0,0.168331192593184,"політична партія слуга народу",NA,38,"M",0
"Мельничук Іван Іванович",14,1,0.721692917629379,"політична партія європейська солідарність","партії блок петра порошенка",50,"M",0.617846457692134
"Борзова Ірина Наумівна",14,0,0.103846459937245,"політична партія слуга народу",NA,37,"F",0
"Спориш Іван Дмитрович",15,1,0.535448477781245,"самовисування","партії блок петра порошенка",60,"M",0.14865347272641
"Пращук Віталій Юрійович",15,0,0.386795005054834,"політична партія слуга народу",NA,39,"M",0
"Македон Юрій Миколайович",16,1,0.657563385791417,"самовисування","партії блок петра порошенка",39,"M",0.404459121660462
"Вдовцов Михайло Михайлович",16,0,0.253104264130955,"політична партія європейська солідарність",NA,39,"M",0
"Кучер Микола Іванович",17,1,0.691277850843212,"самовисування","партії блок петра порошенка",60,"M",0.484741180884648
"Коваль Олександр Леонідович",17,0,0.206536669958563,"політична партія слуга народу",NA,38,"M",0
"Демчак Руслан Євгенійович",18,1,0.739599172685156,"самовисування","партії блок петра порошенка",45,"M",0.577971601663585
"Довгань Павло Олегович",18,0,0.161627571021571,"політична партія слуга народу",NA,23,"M",0
"Гузь Ігор Володимирович",19,1,0.642182716207907,"самовисування","політичної партії народний фронт",37,"M",0.371221615562253
"Мисковець Назар Сергійович",19,0,0.270961100645654,"політична партія слуга народу",NA,31,"M",0
"Мартиняк Сергій Васильович",20,1,0.601708675018947,"самовисування","воля народу",48,"M",0.386344927186168
"Рубльов Вячеслав Володимирович",20,0,0.215363747832779,"політична партія слуга народу",NA,40,"M",0
"Івахів Степан Петрович",21,1,0.682204388433897,"самовисування","воля народу",51,"M",0.465998673883483
"Лев Андрій Миколайович",21,0,0.216205714550413,"політична партія слуга народу",NA,36,"M",0
"Пісачук Сергій Васильович",22,1,0.661425910974905,"політична партія слуга народу",NA,43,"M",0.479174364145467
"Палиця Ігор Петрович",22,0,0.182251546829438,"самовисування",NA,47,"M",0
"Констанкевич Ірина Мирославівна",23,1,0.566370347491113,"самовисування",NA,54,"F",0.197515312293622
"Приймачук Максим Петрович",23,0,0.368855035197491,"політична партія слуга народу",NA,32,"M",0
"Кисилевський Дмитро Давидович",24,1,0.554563460424937,"політична партія слуга народу",NA,36,"M",0.194537184985755
"Береза Юрій Миколайович",24,0,0.360026275439182,"самовисування","політичної партії народний фронт",49,"M",0
