deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread,proposed_full
Кудлаєнко Сергій Володимирович,11,NA,0.440376513180846,самовисування,партії блок петра порошенка,44,M,0.184662693314664,самовисування
Гижко Андрій Петрович,11,NA,0.255713819866182,ЄС,NA,41,M,0,політична партія європейська солідарність
Шулікін Олег Миколайович,11,NA,0.167021146001556,самовисування,NA,53,M,-0.0886926738646259,самовисування
Драбовський Анатолій Григорович,12,NA,0.436518362932402,СН,NA,61,M,0.125397259999226,політична партія слуга народу
Грушко Сергій Сергійович,12,NA,0.311121102933176,ОПЗЖ,NA,29,M,0,політична партія опозиційна платформа за життя
ВерланКульшенко Олена Олександрівна,12,NA,0.101477377225691,ЄС,NA,48,F,-0.209643725707485,політична партія європейська солідарність
Юрчишин Петро Васильович,13,NA,0.746114233865959,самовисування,партії блок петра порошенка,61,M,0.641834433656157,самовисування
Стахов Валерій Іванович,13,NA,0.104279800209802,самовисування,NA,50,M,0,самовисування
Максименко Юрій Володимирович,13,NA,0.0747508063962526,СН,NA,38,M,-0.0295289938135494,політична партія слуга народу
Мельничук Іван Іванович,14,NA,0.779624828758192,ЄС,партії блок петра порошенка,50,M,0.694294565246758,політична партія європейська солідарність
Борзова Ірина Наумівна,14,NA,0.0853302635114337,СН,NA,37,F,0,політична партія слуга народу
Середа Віталій Вікторович,14,NA,0.0604293417899957,самовисування,NA,37,M,-0.024900921721438,самовисування
Спориш Іван Дмитрович,15,NA,0.756098670701275,самовисування,партії блок петра порошенка,60,M,0.573253397308996,самовисування
Пращук Віталій Юрійович,15,NA,0.182845273392279,СН,NA,39,M,0,політична партія слуга народу
Копера Дмитро Васильович,15,NA,0.0288231731465528,ВОБ,NA,37,M,-0.154022100245726,політична партія всеукраїнське обєднання батьківщина
Македон Юрій Миколайович,16,NA,0.780718942327992,самовисування,партії блок петра порошенка,39,M,0.674542231102205,самовисування
Вдовцов Михайло Михайлович,16,NA,0.106176711225788,ЄС,NA,39,M,0,політична партія європейська солідарність
