tvo_parl;tvo_pres
  1;NA
  2;NA
  3;3
  4;4
  5;5
  6;6
  7;7
  8;8
  9;9
 10;10
 11;NA
 12;NA
 13;13
 14;14
 15;16
 16;18
 17;17
 18;15
 19;19
 20;20
 21;21
 22;22
 23;23
 24;NA
 25;NA
 26;NA
 27;NA
 28;NA
 29;40
 30;NA
 31;31
 32;32
 33;NA
 34;34
 35;35
 36;36
 37;37
 38;38
 39;39
 40;40
 41;NA
 42;NA
 43;NA
 44;NA
 45;45
 46;46
 47;47
 48;48
 49;50
 50;49
 51;NA
 52;52
 53;53
 54;55
 55;53
 56;NA
 57;NA
 58;NA
 59;60
 60;61
 61;62
 62;NA
 63;64
 64;65
 65;66
 66;67
 67;64
 68;69
 69;70
 70;71
 71;72
 72;73
 73;74
 74;NA
 75;NA
 76;NA
 77;NA
 78;79
 79;80
 80;81
 81;82
 82;83
 83;NA
 84;85
 85;86
 86;87
 87;88
 88;89
 89;90
 90;91
 91;92
 92;93
 93;94
 94;95
 95;96
 96;97
 97;98
 98;99
 99;NA
100;101
101;102
102;103
103;104
104;NA
105;NA
106;113
107;NA
108;109
109;108
110;107
111;NA
112;113
113;115
114;114
115;NA
116;NA
117;NA
118;125
119;123
120;124
121;127
122;124
123;123
124;121
125;126
126;128
127;132
128;NA
129;131
130;131
131;133
132;134
133;NA
134;NA
135;NA
136;NA
137;139
138;140
139;141
140;142
141;143
142;144
143;145
144;NA
145;150
146;NA
147;150
148;149
149;152
150;151
151;153
152;NA
153;155
154;156
155;157
156;158
157;NA
158;160
159;161
160;162
161;163
162;164
163;NA
164;166
165;167
166;168
167;169
168;NA
169;NA
170;NA
171;NA
172;NA
173;NA
174;NA
175;177
176;178
177;179
178;180
179;181
180;177
181;180
182;NA
183;NA
184;186
185;189
186;187
187;NA
188;191
189;191
190;195
191;192
192;194
193;194
194;NA
195;200
196;199
197;200
198;201
199;202
200;203
201;NA
202;205
203;206
204;207
205;NA
206;209
207;213
208;211
209;211
210;212
211;NA
212;NA
213;NA
214;NA
215;NA
216;NA
217;NA
218;NA
219;NA
220;NA
221;NA
222;NA
223;NA
224;NA
225;NA
