deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread
Гижко Андрій Петрович,11,1,0.362527480032736,європейська солідарність,NA,41,M,0.0264783364435844
Кудлаєнко Сергій Володимирович,11,0,0.336049143589152,БПП,БПП,44,M,0
Пашковський Максим Ігорович,11,0,0.167696891756648,слуга народу,NA,36,M,-0.168352251832504
Грушко Сергій Сергійович,12,1,0.601138956647543,опозиційна платформа за життя,NA,29,M,0.383314192647185
Драбовський Анатолій Григорович,12,0,0.217824764000358,слуга народу,NA,61,M,0
ВерланКульшенко Олена Олександрівна,12,0,0.0683397837303198,європейська солідарність,NA,48,F,-0.149484980270038
Юрчишин Петро Васильович,13,1,0.645609080832492,БПП,БПП,61,M,0.477277888239308
Максименко Юрій Володимирович,13,0,0.168331192593184,слуга народу,NA,38,M,0
Крученюк Олександр Васильович,13,0,0.0831407976185811,європейська солідарність,NA,41,M,-0.0851903949746033
Мельничук Іван Іванович,14,1,0.721692917629379,європейська солідарність,БПП,50,M,0.617846457692134
Борзова Ірина Наумівна,14,0,0.103846459937245,слуга народу,NA,37,F,0
Юхимчук Анатолій Петрович,14,0,0.0873535083698381,unaffiliated,NA,60,M,-0.0164929515674069
Спориш Іван Дмитрович,15,1,0.535448477781245,БПП,БПП,60,M,0.14865347272641
Пращук Віталій Юрійович,15,0,0.386795005054834,слуга народу,NA,39,M,0
Копера Дмитро Васильович,15,0,0.0326934858026221,батьківщина,NA,37,M,-0.354101519252212
Македон Юрій Миколайович,16,1,0.657563385791417,БПП,БПП,39,M,0.404459121660462
Вдовцов Михайло Михайлович,16,0,0.253104264130955,європейська солідарність,NA,39,M,0
Томляк Таїса Сергіївна,16,0,0.0494538063857429,слуга народу,NA,27,F,-0.203650457745213
Кучер Микола Іванович,17,1,0.691277850843212,БПП,БПП,60,M,0.484741180884648
Коваль Олександр Леонідович,17,0,0.206536669958563,слуга народу,NA,38,M,0
Грамарчук Олександр Леонідович,17,0,0.046364303277238,європейська солідарність,NA,37,M,-0.160172366681325
Демчак Руслан Євгенійович,18,1,0.739599172685156,БПП,БПП,45,M,0.577971601663585
Довгань Павло Олегович,18,0,0.161627571021571,слуга народу,NA,23,M,0
Калетнік Григорій Миколайович,18,0,0.0654718762079287,unaffiliated,NA,70,M,-0.0961556948136424
Гузь Ігор Володимирович,19,1,0.642182716207907,народний фронт,політичної партії народний фронт,37,M,0.371221615562253
Мисковець Назар Сергійович,19,0,0.270961100645654,слуга народу,NA,31,M,0
Григоренко Сергій Анатолійович,19,0,0.057374101108915,європейська солідарність,NA,40,M,-0.213586999536739
Мартиняк Сергій Васильович,20,1,0.601708675018947,воля народу,воля народу,48,M,0.386344927186168
Рубльов Вячеслав Володимирович,20,0,0.215363747832779,слуга народу,NA,40,M,0
Мирка Іван Іванович,20,0,0.140666990448016,європейська солідарність,NA,39,M,-0.0746967573847624
Івахів Степан Петрович,21,1,0.682204388433897,воля народу,воля народу,51,M,0.465998673883483
